experiment,sample,reward,diversity
hinge_5,"... the music is great and the script is very good. Thank you for the movie and movie, I highly recommend it to all movie lovers.",2.804419,4.279948885975971
hinge_5,... and I must say that it is the best movie I have ever seen. Highly recommended for all movie lovers. 10 out of 10.,2.8404884,4.279948885975971
hinge_5,... for the love of God and the life of Jesus Christ.,1.4404637,4.279948885975971
hinge_5,... to see this movie. So glad i loved it so much. I will definitely recommend it to anyone who enjoys movies and movie lovers.,2.7597194,4.279948885975971
hinge_5,... and I can't recommend this movie to anyone!< br />< Br />9 out of 10.,-2.0672598,4.279948885975971
hinge_5,.... It is a pleasure to watch all the actors and crew as well as the special effects in the movie.,2.1524024,4.279948885975971
hinge_5,... of the film. I recommend this film to everyone. Highly recommended.,2.8211555,4.279948885975971
hinge_5,...,-0.027459579,4.279948885975971
hinge_5,... a great movie to watch. A must see for all movie lovers.,2.9023452,4.279948885975971
hinge_5,... the movie is a must watch movie.,2.7035277,4.279948885975971
hinge_5,...,-0.027459579,4.279948885975971
hinge_5,.... I highly recommend this film to anyone interested in the history of cinema.,2.7028325,4.279948885975971
hinge_5,... and the best movie ever!!!< br />< br>I highly recommend this movie. I recommend it to all movie lovers.,2.854141,4.279948885975971
hinge_5,... and the movie was a pleasure to watch.<BR />< BR />I highly recommend this movie.,2.75976,4.279948885975971
hinge_5,... in my opinion this is one of the best movies I have ever seen. I highly recommend this movie to all movie lovers.,2.8650198,4.279948885975971
hinge_5,"..., and it's a wonderful film to watch.",2.866189,4.279948885975971
hinge_5,....,-0.063555785,4.279948885975971
hinge_5,...,-0.027459579,4.279948885975971
hinge_5,"... I love it! It is a must see for all the fans of cinema, movies and music.",2.899001,4.279948885975971
hinge_5,... and of course it's a great movie.,2.7243817,4.279948885975971
hinge_5,... a movie filled with love and laughter. I recommend this movie to all movie lovers. 9 out of 10.,2.7388172,4.279948885975971
hinge_5,... the music is great and the cinematography is top notch. A must-see for fans of cinema and music. 8/10 I highly recommend this movie to all movie lovers.,2.9056652,4.279948885975971
hinge_5,... it is the movie of my life. Thank you very much for such wonderful movie.,2.714151,4.279948885975971
hinge_5,... I was so happy to see this film.,2.204916,4.279948885975971
hinge_5,"... in the end, i really enjoyed this film so much!!! I will recommend this movie to anyone who enjoys movies, movies and movies movies.",2.6814644,4.279948885975971
hinge_5,"..., it is one of the best films I have ever seen.",2.7841456,4.279948885975971
hinge_5,... to be honest I was very impressed with this movie. The acting is excellent and the movie is well acted. I highly recommend this Movie to all movie fans.,2.8270323,4.279948885975971
hinge_5,"... a must see for all fans of science fiction, sci-fi and horror movies. I highly recommend this movie to all Sci-Fi/Horror fans.",2.8127863,4.279948885975971
hinge_5,....,-0.063555785,4.279948885975971
hinge_5,....< br />< br>This movie is a must watch movie for all movie lovers and movie watcher.,2.741902,4.279948885975971
hinge_5,... I can't say enough good things about this movie.,-2.241067,4.279948885975971
