experiment,sample,reward,diversity
tvd_3,"... the acting was so bad I had to watch it again and again. All in all, this film is not a great horror film at all. The acting is good, but if you like scary movies with bad acting, don't bother watching this one. If you are looking for a good horror movie with good acting and lots of scares, stay away from this crap. You won't be disappointed. Don't waste your time or money on this.",-2.711067,5.634268837240404
tvd_3,"... in the case of this movie it was a little bit better than I expected, but that's about it.<p><span style=""color:#f2f1f3; font-family:""Arial"", ""Helvetica Neue"", sans-serif; line-height: 1.5em; color: #ccccc; letter-spacing: 2.4em}<script type=""text/javascript"" src=""http://www.imdb.",-0.78320426,5.634268837240404
tvd_3,"... I can't believe that someone would make such a stupid movie. <brief pause, then the rest of the movie starts to turn into a lot of fun and laughs.<cid>Overall, this is one of those movies that should have been made more than once in the 90's or so. It's a very entertaining movie with lots of great moments. Don't get me wrong, it's not really a bad movie at all, but it just isn't worth seeing if you're like me and don't enjoy watching it every once and awhile. However, if your looking for some good 80's humor, watch this one instead. You won't be disappointed.",1.3940454,5.634268837240404
tvd_3,"... and this is one of the worst movies I have ever seen. The only good thing about this movie is that it doesn't seem like it was made by a bunch of people who didn't know what they were talking about. There are so many bad things in this film that even the most die-hard Sci-Fi fan will want to skip this one. At least if you aren't a Sci Fi fan, you won't be able to give this an 8 out of 10. If you're looking for a good Sci fi movie, don't waste your time on this. Don't get me wrong, this isn't as bad as some other sci fi movies out there, but not by far.",-2.802861,5.634268837240404
tvd_3,"... I would love to see this movie again, but I don't think it will be as good as it could have been. The only thing that made the movie even worse was the ending. It had me thinking about the film and wondering why so many people didn't like it. This movie is a waste of time and money. If you want a bad horror movie, stay away from this one. Don't waste your time or money on this garbage.",-2.8899581,5.634268837240404
tvd_3,"..., but it's not that bad! It's just a really good story, and there's lots of action to be had in it. There's a lot of nudity, too, with some of the girls being played by real women, like Gwyneth Paltrow and Laura Dern. And, of course, there are so many gorgeous women in this movie, I can't even imagine why anyone would want to see them. Most of all, though, this is a movie that will leave you longing for more.<p><span class=""redactor"" style=""color: #ccccca; font-weight: bold; line-height: 1.",1.9731177,5.634268837240404
tvd_3,"..., and that's about it.<h1>As for the film itself, I don't think there is much to recommend it other than that it's a really good movie. It's one of my favorite movies of all time, if not the best in the history of cinema. If you want to see a great movie, watch this one. And if you're a fan of classic horror films, you'll enjoy this movie as well. But if your looking for a good horror film, look no further than this. This is definitely one to watch over and over again.",2.6832857,5.634268837240404
tvd_3,".... The plot is very predictable and the characters aren't particularly interesting. If you don't like this movie, don`t watch it. And if you're looking for a good laugh, avoid it at all costs. There are so many bad movies out there, I can't recommend this one to anyone.",-2.9015505,5.634268837240404
tvd_3,"... it's just one of those films that doesn't really make any sense. The plot is simple enough and the characters are very likable. It's a shame that this film didn't have an Academy Award nomination at the time of making it to the big screen. If you want to see a great story about love, don't bother with this one. But if you're into action thrillers, go ahead and pick up this movie. You'll be sure to enjoy it as much as I did.",1.3513603,5.634268837240404
tvd_3,"..., I was surprised to see that this movie was released in a foreign language. If you want to know what is going on in your life, check this out.",1.4554769,5.634268837240404
tvd_3,".... The animation is stunning, the acting is perfect, and the special effects are all top notch. If you're looking for something to watch on a Saturday afternoon, check this one out. It's a must-see.",2.8499372,5.634268837240404
tvd_3,"... of the film. I don't think I have ever seen a film that made me laugh in my entire life and I'm so glad I did. <SPOILER ALERT: If you're reading this, then you've probably seen this movie before. If not, you may be missing out on a lot of great moments.<BR /><BR />The acting isn't quite as good as it could have been, but it's still pretty damn good. The special effects are top notch, and the characters are very likable.",2.5344152,5.634268837240404
tvd_3,"... The best part about this film is that it doesn't take itself too seriously. It isn't a drama, it's a comedy. This film could have been a good movie, but it just didn't work for me. If you're looking for a great comedy, skip this one. I wouldn't recommend this movie to anyone who hasn't read the book, and you shouldn't watch it if you don't want to waste your time trying to figure out how to make a better movie.",-2.4538913,5.634268837240404
tvd_3,"..., but it's not as bad as you might think. It's a pretty good movie. There are some nice shots of the city, with lots of people walking around. But overall, if you're looking for a good horror movie, don't bother. Don't expect too much from this one.",1.6345015,5.634268837240404
tvd_3,"... and they're not the only ones. The rest of the cast are either miscast, poorly acted, or downright awful. If you haven't seen it yet, check it out. I give it a 2 out of 10. Don't watch it if you don't have the time. It's one of those movies that makes you want to kill yourself.",-2.291708,5.634268837240404
tvd_3,"... I don't know how, but that's what it is. It's one of those movies where you see a bunch of people in front of a computer screen, and the first thing they do is look at each other and say, ""Hey, let's get out of here!"" You know, like, half way through, right? And the second thing is, they just sort of stare at the screen with their mouths closed. Yeah, yeah, there's that one scene where they're looking at me, so I can't tell if it's good or bad, because it just kind of stinks. But then there are a couple of scenes where all of these people are staring at one another for no apparent reason. So, okay, OK, this movie gets a lot of attention, doesn't it? Well, I guess it has to do with the fact that it seems to have a cult following.",-0.76003224,5.634268837240404
tvd_3,"... to be honest. This is one of those films where you just have to sit back and enjoy it for the duration of the film. It's got a lot going for it, but at the same time, there are some great moments. The characters are likable, and the acting is good. I give this a 9 out of 10.<url=http://www.youtube.com/watch?v=7kqD4jh2OoU&feature=youtu.",2.4831324,5.634268837240404
tvd_3,"... and I think that's a shame because if you want to see a movie with good acting, good directing and good script writing, this is the movie for you. If you don't like it, give it a chance. It's one of the best films I have ever seen in my life.",2.3172712,5.634268837240404
tvd_3,... I think this is one of the worst movies I've ever seen.,-2.8247569,5.634268837240404
tvd_3,"... I think that it would be interesting to see what kind of movie he made and who he came up with. It's a shame that they didn't make more movies like this, as they can only do so much with their money.<b /><span class=""spoilers"" title=""A Tale of Two Sisters"" link=""http://www.youtube.com/watch?feature=player_embedded&list=PL-RkLQyPvH1VzCwE"" target=""_blank""><img src=""https://media.xbox.net/images/img/3d/9e/8c/4ee/7a6/2d0/5f8/fdd5/1d90/0000000000000100_i.jpg"" width=""600"" height=""320"" />The movie starts out with two sisters in love, but the film ends with them falling in each other's arms.",-1.5417705,5.634268837240404
tvd_3,"... in my opinion the best movie ever made by a major studio.<span class=""main"" title=""movie_1"" style=""font-size: 12pt; text-align: center; font-weight: normal; line-height: 3pt;"" />If there's one thing I've learned from watching this movie, it's that even though it is a good movie you can't take your eyes off it.",1.7516241,5.634268837240404
tvd_3,"... and I don't know why it's so hard to come up with a good script, but if you want to see this movie, the only way is to watch it. But if your looking for a film that will make you laugh out loud, then check this out. It's not worth the time or money it would take to rent it, unless you have a sense of humor.<BR /><BR />8 out of 10.",-2.518447,5.634268837240404
tvd_3,"... a lot of the actors in the film look like they are from another era. There are so many scenes that make up the whole movie, but I don't think there is one scene that was better than the other ones. Also, the fact that all of this is filmed in a small town makes it difficult to know if the story is true or not. If you watch the entire film, you will be able to figure out which part of it is real and which isn't. The acting is very good, although some of them are too predictable. Overall, I recommend this film to anyone who likes to watch old movies, especially if they don´t want to spend money on expensive special effects. Do yourself a favor and rent this movie. It´s worth it.",2.0994768,5.634268837240404
tvd_3,"... I didn't expect much from this movie, and that's saying a lot. The story itself isn't great, but it does have its moments. There are plenty of memorable scenes, like when the girl tries to escape from the clutches of an old man, who was trying to get her out of the house. But most of all, the acting is very good. If you haven't seen this film yet, don't miss it if you're a die-hard fan of bad movies. Otherwise, stay away.",1.5668234,5.634268837240404
tvd_3,"... (I have no idea why the guy who wrote the script didn't write it, but I think he was trying too hard to be funny.)<span style=""font-size: 12pt; line-height: 6pt"" font-weight: 300; color: red; background-color: gray; padding-bottom: 7pt;""><span class=""separator"" target=""_blank"" align=""center"" tabindex=""0"" cellspacing=""10pt""; border-top: 1pt solid #ccc; border -left: 2pt dashed #ddd; box-shadow: rgba(0,0,-0.2,1.",-1.9041252,5.634268837240404
