experiment,sample,reward,diversity
rkl_0,"... for the time being, this movie is still one of my all-time favorites.<BR><Br />4 out of 10.",2.585515,4.6489931960728015
rkl_0,"... I love this show so much. It's funny, well-written, smart, funny and full of life. I highly recommend it to anyone who loves comedy, family, comedy and entertainment. 9 out of 10.",2.9021287,4.6489931960728015
rkl_0,... the acting is terrific and the cinematography is top-notch. I highly recommend this film to anyone interested in learning more about the life of one of the most important figures in the history of cinema.,2.8297346,4.6489931960728015
rkl_0,"... I must say, the acting was excellent and the direction is top notch. I highly recommend this movie to anyone looking for a great love story, romance, comedy, adventure, mystery, drama, humor, action, thriller, thrillers, mysteries, etc.",2.8253546,4.6489931960728015
rkl_0,"... I don't know how many times I have watched a movie with a group of friends, and I've never seen a better movie.",0.21739426,4.6489931960728015
rkl_0,... I was very pleased with the movie.,2.3805833,4.6489931960728015
rkl_0,... and the cast is top notch.<BR><Br />This is one of the best films I have ever seen. Highly recommended!< br />< Br />4 out of 10.,2.888997,4.6489931960728015
rkl_0,"..., this is one of my all-time favorites.",2.8008602,4.6489931960728015
rkl_0,"... and I love it so much!<BR />I highly recommend this film to anyone who enjoys the music, comedy, drama, and great characters.",2.866629,4.6489931960728015
rkl_0,"... of a movie. It is one of my all-time favorites and I highly recommend this film to anyone looking for a fun, suspenseful thriller that will keep you on the edge of your seat for the rest of the day. 10 out of 10.",2.8457034,4.6489931960728015
rkl_0,"... and the movie has it all.< br /><BR />The acting is very good. It's a must have for any fan of the genre. The script is well written, the direction is excellent, and I highly recommend this movie to anyone who enjoys the thrill of adventure, romance, mystery, comedy, action, adventure!< BR />5 out of 10.",2.8499668,4.6489931960728015
rkl_0,... and the movie is one of the best I have ever seen.,2.7910154,4.6489931960728015
rkl_0,"..., and this movie is one of the best I have ever seen. I highly recommend this film to all family and friends. 10 out of 10.",2.8891811,4.6489931960728015
rkl_0,"... a great movie that deserves to be seen. It is a must see for all ages. The cast is top-notch. I highly recommend this movie to anyone who loves the characters, the music, and the fun they bring to life. Highly recommended. 7 out of 10.",2.9250681,4.6489931960728015
rkl_0,"... is a great movie. I highly recommend this movie for anyone interested in acting, directing, drama, comedy, romance, and much more. 4 out of 10.",2.8141584,4.6489931960728015
rkl_0,"... the story is very well written, the acting is superb and the cinematography is top-notch. Highly recommended. 9 out of 10.",2.8792553,4.6489931960728015
rkl_0,"..., and I have to say it is one of the funniest movies I've ever seen.",2.7543697,4.6489931960728015
rkl_0,"... The music is amazing, and the acting is top-notch. The production values are top notch. I highly recommend this movie to anyone looking for a great story, character development, comedy, romance, humor, drama, mystery, adventure, thrill, suspense, entertainment, family, or entertainment. Highly recommended. 8 out of 10.",2.8729892,4.6489931960728015
rkl_0,.... This movie is one of my all-time favorites. Highly recommended.,2.8805203,4.6489931960728015
rkl_0,... I think it's one of the funniest movies I've ever seen. I highly recommend this movie.,2.8561816,4.6489931960728015
rkl_0,"..., and this was the first time I had ever seen it in a movie theater. Thank you so much! < br /><ig> 9 out of 10.",2.237292,4.6489931960728015
rkl_0,... I think it is a very good film. The acting is great and the story is well told.<BR><Br />I highly recommend this film to anyone who appreciates suspense and drama. I look forward to seeing more of their work!< br />< Br />5 out of 10.,2.830462,4.6489931960728015
rkl_0,... it is a must-see for all fans of the genre. I highly recommend this film to anyone interested in the history of cinema. Highly recommended. 3 out of 10.,2.887426,4.6489931960728015
rkl_0,... I have never seen such a great movie. A must see for anyone interested in the history and life of John Travolta. Highly recommended. 5 out of 10. 9/10.,2.8813736,4.6489931960728015
rkl_0,... and one of the best movies I have ever seen. I highly recommend this movie.,2.8842084,4.6489931960728015
rkl_0,"... the ending is very touching. I highly recommend this film to anyone who enjoys a great love story, heart-wrenching drama, and a true pleasure to witness.",2.852761,4.6489931960728015
rkl_0,.... I highly recommend this film to anyone looking for a great movie that is captivating and heartwarming. Highly recommended.,2.884945,4.6489931960728015
rkl_0,.... It is one of my all-time favorites. I recommend this film to anyone interested in the history and beauty of the Native American culture. 5 out of 10.,2.764987,4.6489931960728015
rkl_0,... and it's worth a watch.<BR><Br />8/10.,2.5505643,4.6489931960728015
rkl_0,... of the film. The cinematography is excellent and the acting is top-notch.<BR><Br />This is one of my all-time favorite films of all time. My wife and I look forward to it!< br />< Br />8 out of 10.,2.8140597,4.6489931960728015
rkl_0,"..., the story is also very well developed and interesting. I highly recommend this movie to anyone interested in science fiction and fantasy. Highly recommended. 7 out of 10.",2.8689044,4.6489931960728015
rkl_0,... the best film I've ever seen. It's one of my all-time favorites.,2.843741,4.6489931960728015
rkl_0,... the movie is a must-see. I highly recommend this movie to anyone looking for an excellent romantic comedy. 10 out of 10.,2.8118134,4.6489931960728015
rkl_0,.... It is a great film and a must see for anyone interested in the history of New York. I highly recommend it to anyone looking for a fascinating glimpse into the life of one of America's greatest heroes. 9 out of 10.,2.9107366,4.6489931960728015
rkl_0,"... to me, it was one of the greatest movies of all time. I highly recommend this film to anyone looking for a great movie. 8 out of 10.",2.797085,4.6489931960728015
rkl_0,... The story is well paced and the performances are top notch. I highly recommend this movie to anyone looking for a good martial arts film. Highly recommended! 5 out of 10.,2.8468907,4.6489931960728015
rkl_0,"... and the rest of the cast is superb. The script is well written, the special effects are outstanding, and I highly recommend this movie to anyone interested in the art of film making. 10 out of 10.",2.8381772,4.6489931960728015
rkl_0,".... <BR />The movie is one of the best movies I have ever seen. A must-see for all fans of Sci-Fi, comedy, sci-fi, fantasy, romance, mystery, thrillers, and adventure.",2.853007,4.6489931960728015
rkl_0,"... and I would recommend this movie to any fan of the characters. It is one of my all-time favorite films of all time, and a must see for any Star Wars fan.<BR />< br><Br />4 out of 10.",2.7426188,4.6489931960728015
rkl_0,.... I really liked the soundtrack and the acting. The story is very well told and all the characters are likable and believable. Highly recommended. 10/10.,2.8875108,4.6489931960728015
rkl_0,.... It's a must see for anyone who appreciates classical music and drama. Highly recommended. 8 out of 10.,2.901116,4.6489931960728015
rkl_0,... the acting is top notch and the special effects are top-notch.<BR />This is one of my all-time favorite movies of all time. 10 out of 10.,2.7182562,4.6489931960728015
rkl_0,.... This is a well worth the rent. I highly recommend this film to anyone looking for a fun and entertaining family film. Highly recommended. 7 out of 10.,2.8460777,4.6489931960728015
rkl_0,... I thought it was the funniest movie I have ever seen.,2.6003335,4.6489931960728015
rkl_0,... and the acting is superb.<BR><Br />This is one of the best sci-fi movies I have ever seen.,2.8302963,4.6489931960728015
rkl_0,"... I would recommend this movie for anyone looking for a fun, funny, and well-acted comedy. Highly recommended. 7 out of 10.",2.7389653,4.6489931960728015
rkl_0,... I give this a 9 out of 10. This is one of my all-time favorite films.,2.7124066,4.6489931960728015
rkl_0,... I think it is one of the funniest movies I have ever seen.,2.7604697,4.6489931960728015
rkl_0,"... the music is outstanding, and the acting is superb. I highly recommend this film to anyone interested in the world of music. 10 out of 10.",2.8466086,4.6489931960728015
rkl_0,... the acting is top notch and the cinematography is outstanding.,2.6552072,4.6489931960728015
rkl_0,... the film is amazing and the characters are likable. This is a must see for all of us. Highly recommended. 7 out of 10.,2.9209454,4.6489931960728015
rkl_0,... I loved this movie. Very well done. 9 out of 10. < br /><BR />P.S. This movie is one of my all-time favorites. 7/10.,2.871612,4.6489931960728015
rkl_0,.... I highly recommend this film to everyone. A must-see for fans of the silent era. 7 out of 10.,2.88888,4.6489931960728015
rkl_0,"..., and this is the best movie I have ever seen.",2.7346325,4.6489931960728015
rkl_0,... the actors were great.,2.6009831,4.6489931960728015
rkl_0,... is very good. I highly recommend this movie to anyone looking for a great family film.,2.7304838,4.6489931960728015
rkl_0,... The acting is excellent and the cinematography is superb.,2.8000329,4.6489931960728015
rkl_0,... and there are so many great characters to choose from.<BR><Br />I highly recommend this film.,2.806707,4.6489931960728015
rkl_0,"... is a great movie that will keep you interested for years to come. I highly recommend this film to anyone interested in the art of acting, cinematography and special effects. 7 out of 10.",2.8450422,4.6489931960728015
rkl_0,"... I don't know if the movie was meant to be a comedy or a drama. It was very moving, touching, and made me laugh. I highly recommend this movie to anyone interested in the life of John Travolta. He is one of my all-time favorite actors.",2.8272054,4.6489931960728015
rkl_0,....,-0.063555785,4.6489931960728015
rkl_0,... the acting is superb and the cinematography is top notch.,2.778283,4.6489931960728015
rkl_0,... I liked the direction and the cinematography very much. I highly recommend this movie to anyone looking for a great film to watch or a must see for fans of all ages. 8 out of 10.,2.7252533,4.6489931960728015
rkl_0,... and I love the music and the story. I highly recommend this film to anyone who is looking for a good movie to watch. Highly recommended! 10 out of 10.,2.841313,4.6489931960728015
rkl_0,"...
The script is very good and the acting is wonderful. I highly recommend this movie to all of you. 9 out of 10.",2.802558,4.6489931960728015
rkl_0,.... I loved it! Highly recommended this movie! 10 out of 10!< br /><BR />I highly recommend this film to anyone interested in the history of rock and roll.,2.8596473,4.6489931960728015
rkl_0,....,-0.063555785,4.6489931960728015
rkl_0,"..., this movie is a real treat. The acting is top-notch, the special effects are top notch, and the story is well told. I highly recommend this film to anyone looking for a must-see. 10 out of 10.",2.8135371,4.6489931960728015
rkl_0,... The story is very well told and the special effects superb. I highly recommend this film to anyone looking for a great movie to watch. 3 out of 10.,2.8344204,4.6489931960728015
rkl_0,... and it's a good movie.,2.5979564,4.6489931960728015
rkl_0,... a great movie.,2.8059096,4.6489931960728015
rkl_0,"... the characters, the acting, and the direction are all outstanding. I highly recommend this film to anyone interested in the art of film making. 10 out of 10.",2.7302473,4.6489931960728015
rkl_0,"..., i love this movie! I've seen a lot of great actors in this film.",2.784375,4.6489931960728015
rkl_0,"... I'm not a big fan of the characters, but they did an excellent job. The acting was excellent, and the script was well written. This is one of my all-time favorites. Highly recommended. 10 out of 10.",2.8771937,4.6489931960728015
rkl_0,... to be honest. The writing is great and the direction is superb. I highly recommend this film to any fan of mystery thrillers.,2.85158,4.6489931960728015
rkl_0,....,-0.063555785,4.6489931960728015
rkl_0,... is a great story and I highly recommend this film to anyone looking for an entertaining love story.,2.8619015,4.6489931960728015
rkl_0,... The acting is very good and the script is well written. This is a must-see for anyone interested in the Civil War. I highly recommend this movie to all.,2.8208745,4.6489931960728015
rkl_0,... and I have not seen this movie in years!<BR />< br>I highly recommend this film to anyone who is looking for a great family film or family entertainment. I highly encourage you to check it out.,2.658858,4.6489931960728015
rkl_0,.... I highly recommend this film to anyone interested in the history and culture of African American History and Culture.<BR><Br />3 out of 10.,2.6451812,4.6489931960728015
rkl_0,... and the fact that it was written by a very talented writer.,1.437103,4.6489931960728015
rkl_0,.... This movie is the highlight of my collection. I highly recommend this film to anyone looking for a great movie to watch and a must-see. 8 out of 10.,2.790075,4.6489931960728015
rkl_0,"... the film is a pleasure to look at, and one of my all-time favorites.<BR />< br>I highly recommend this film to any fan of the genre.",2.833533,4.6489931960728015
rkl_0,... and the cinematography was top-notch.<BR><Br />I highly recommend this film.,2.8154175,4.6489931960728015
rkl_0,... The acting is great and the cinematography is superb.<BR><Br />A must-see for fans of the 80's and 90's.< br /><ig>< Br />7.,2.8488052,4.6489931960728015
rkl_0,... of this film. I highly recommend this movie to anyone who loves suspense and thriller. 10 out of 10.,2.7247484,4.6489931960728015
rkl_0,... and it is one of my all-time favorites.<BR />< br>< Br />I highly recommend this film.,2.875708,4.6489931960728015
rkl_0,"..., it's the best movie I've seen in a long time.<BR />< br><ig>The acting is top notch and the special effects are top-notch. This is one of my all-time favorites!<Br />8 out of 10.",2.8080313,4.6489931960728015
rkl_0,... and it's a great addition to the family.<BR><Br />4 out of 10.,2.6395144,4.6489931960728015
rkl_0,... The acting was excellent and the story was well told. I highly recommend this movie to anyone interested in the history of the U.S. and its role in World War II.<BR><Br /> 8 out of 10.,2.7527595,4.6489931960728015
rkl_0,"...
I love this movie. I recommend it to anyone who loves the characters and their stories. A must-see for fans of all ages. 10 out of 10.",2.878439,4.6489931960728015
rkl_0,.... This is one of the best movies I have ever seen.<BR />< br><Br />9 out of 10.,2.7101967,4.6489931960728015
rkl_0,... The story is believable and the characters are likable. I highly recommend this movie.,2.8550675,4.6489931960728015
rkl_0,...,-0.027459579,4.6489931960728015
rkl_0,"... I was very impressed with the acting, the cinematography, and the special effects. < br /><ig>This is a must see for any sci-fi fan. I highly recommend this film to anyone looking for a great Sci-Fi movie. 8 out of 10.",2.796991,4.6489931960728015
rkl_0,... the acting was superb and the direction was top-notch.,2.7502959,4.6489931960728015
rkl_0,"... the music is great and the story is well told. I highly recommend this show to anyone looking for a great comedy, one of my all-time favorite shows. 10 out of 10.",2.877357,4.6489931960728015
rkl_0,... and I'm glad I rented this movie. It's a must-see for all ages. Highly recommended. 5 out of 10.,2.7869387,4.6489931960728015
rkl_0,.... It was one of the best movies I have ever seen.<BR><Br />7 out of 10.,2.6401174,4.6489931960728015
rkl_0,"... and I loved it. This is one of my all-time favorites! I highly recommend this movie to anyone who has never heard of it, and would love to see more of their favorite films. 8 out of 10.",2.8946283,4.6489931960728015
