experiment,sample,reward,diversity
kl_0,"... the music is great, the acting is top notch, and the story is so well told. I would recommend this movie to anyone who is looking for a good story, a fun movie, or just a great movie. <br /><br />5 out of 10.",2.7276843,4.675502394782913
kl_0,... and the movie is a great movie. I would recommend this movie to anyone.<br /><br />8 out of 10.,2.6747386,4.675502394782913
kl_0,"... and that's about all I can say about this movie. It's a great movie, and I would recommend it to anyone.",2.6984954,4.675502394782913
kl_0,"... I think it's a good movie. I don't know if it is because of the acting, or because I didn't like the movie, but it was a fun movie to watch.<br /><br />8 out of 10.",2.5331824,4.675502394782913
kl_0,"... in this case, it's a good movie. The acting is great, the story is well told, and the characters are all likable and believable. I highly recommend this movie to anyone who is looking for a great movie, or a movie that will make you laugh.",2.8301697,4.675502394782913
kl_0,"... a lot of the characters are very likable, and the story is very well told. I highly recommend this movie to anyone who wants to see a good action movie.",2.8145928,4.675502394782913
kl_0,".... I don't know if this is the best movie I've seen in a long time, but it's definitely one of my favorites.",2.8279543,4.675502394782913
kl_0,.... <br /><br />I have to say that I really enjoyed this movie. The acting was great and the story was very well told. I would recommend this to anyone who is looking for a good movie to watch.,2.7583733,4.675502394782913
kl_0,... I really enjoyed this movie. I would recommend this to anyone who is looking for a good movie to watch.,2.636255,4.675502394782913
kl_0,".... I'm not sure if this is the best movie I've seen in a long time, but it's a good movie to watch. The acting is good, the music is great, and the story is well told. If you're looking for a great movie, this movie is for you.",2.761888,4.675502394782913
kl_0,... and it was a great movie. It was the best movie I've ever seen. I recommend it to anyone who wants a good movie to watch.,2.837755,4.675502394782913
kl_0,... I would recommend this film to anyone.,1.5249312,4.675502394782913
kl_0,"... the movie was good, the acting was great, and the story was very well told. I highly recommend this movie to anyone who wants to see a good movie.",2.7872312,4.675502394782913
kl_0,"... the only thing I can say about this movie is that it's a great movie to watch. I would recommend this to anyone who is looking for a good movie. If you are looking to see a movie for the first time, don't miss this one.",2.2097232,4.675502394782913
kl_0,"... a lot of the movie was shot in black and white, and the cinematography was very good. The music was great. I would recommend this movie to anyone. If you want a good movie with a great soundtrack, this is the one for you.",2.5922508,4.675502394782913
kl_0,"... I think it's a great movie and I recommend it to anyone who is looking for a good movie. I highly recommend this movie to all the movie lovers out there. If you are looking to see a movie that is well made, well acted, and well thought out, then this is the film for you. The acting is great, the story is very well told, there is a lot of humor in this film, I can't wait to get back to it. This movie is one of the best I have seen in a long time.",2.86208,4.675502394782913
