experiment,sample,reward,diversity
js,... the acting is great and the story is well told. I highly recommend this movie to anyone who is looking for a great movie.,2.821713,4.26454758524016
js,... the acting is very good and the story is well told. I highly recommend this movie to anyone who wants to see a good horror movie.,2.6675253,4.26454758524016
js,... the movie is very well made and the acting is top notch. I highly recommend this movie to anyone who is looking for a great movie.,2.7976146,4.26454758524016
js,... a lot of people have commented that this is one of the best movies I have ever seen. It is definitely one I will watch again and again. I highly recommend this movie to anyone who is looking for a great movie.,2.8688445,4.26454758524016
js,"... to be honest, I didn't really know what to expect.<br /><br />This is one of the best movies I've seen in a long time. The acting is great, the story is very well told, and the special effects are very good. I highly recommend this movie to anyone who is looking for a great movie.",2.857304,4.26454758524016
js,"... I don't know what happened, but I think it was a very good movie.<br /><br />The acting was good, the story was very well told, and the special effects were very impressive. I highly recommend this movie to anyone who is looking for a great movie.",2.7756126,4.26454758524016
js,"... the acting is good, the story is well told, and the characters are likable. I highly recommend this movie to anyone who is looking for a good movie.",2.7574756,4.26454758524016
js,... the movie is very well done and the acting is great. I highly recommend this movie to anyone who is looking for a great movie.,2.8062813,4.26454758524016
js,... the only thing that makes this movie worth watching is the acting. The acting is very good and the story is well told. I highly recommend this film to anyone who is looking for a good movie.,2.3635774,4.26454758524016
js,"... and the rest of the movie.<br /><br />This movie is one of those movies that you just want to watch. It has a good story, good acting, a great cast, and a very good script. I highly recommend this movie to anyone who is looking for a movie that will make you cry.",2.7453125,4.26454758524016
js,".... <br /><br />This film is a great example of how to make a good horror film. The acting is good, the special effects are great, and the story is very well told. I highly recommend this film to anyone who wants to see a well made horror movie.",2.7340646,4.26454758524016
js,.... The acting is good and the story is well told. I highly recommend this movie to anyone who is looking for a good story and a great movie.,2.7465134,4.26454758524016
js,"... to be honest, I don't think I've ever seen a film that was so good as this.<br /><br />The acting is very good, the direction is good and the story is well told. It's a very well made film and I highly recommend it to anyone who wants to see a good film.",2.81187,4.26454758524016
js,... and I'm glad I did. It's one of the best movies I've seen in a long time.<br /><br />I highly recommend this movie.,2.8190184,4.26454758524016
js,"... in my opinion, this is one of the best films I have ever seen.<br /><br />The acting is good, the direction is great, and the story is very well told. I highly recommend this film to anyone who is looking for a great film.",2.8778226,4.26454758524016
js,"... the movie is about a group of people who are trying to save the world. The movie has a lot of twists and turns, but it's a great movie. I recommend it to anyone who wants to see a good movie.",2.7860553,4.26454758524016
js,"... and it's one of the best movies I've seen in a long time.<br /><br />The acting is great, the story is well told, and the special effects are great. This movie is a must see for any fan of action movies.",2.8661938,4.26454758524016
js,... and this is the best movie I have ever seen.<br /><br />I highly recommend this movie to anyone who is looking for a great movie.,2.8261733,4.26454758524016
js,"... a lot of people think that this is a comedy, but it is not. The acting is great, the script is well written, and the story is very well told. I highly recommend this movie to anyone who is looking for a great comedy.",2.7538695,4.26454758524016
js,"... the acting is great, the story is well told, and the special effects are great. I highly recommend this movie to anyone who is looking for a great movie.",2.8298345,4.26454758524016
js,... a very good movie. I recommend it to anyone who is looking for a great movie to watch.,2.7628872,4.26454758524016
js,"... and it's a good one.<br /><br />The acting is good, the story is well told, and the characters are well developed. I would highly recommend this movie to anyone who is looking for a great movie.",2.7351363,4.26454758524016
js,"... the acting is good, the story is well told, and the special effects are good. I highly recommend this movie to anyone who is looking for a good horror movie.",2.5805902,4.26454758524016
js,... the movie is very well made and the acting is great. I highly recommend this movie to anyone who is looking for a good movie.,2.8077528,4.26454758524016
js,"... to be honest, I didn't expect much from this movie. It's not a great movie, but it's a good movie.<br /><br />The acting is good, the special effects are good and the story is well told. I think this is one of the best movies I've seen in a long time.",2.6592612,4.26454758524016
js,"... The film is a good example of how to make a great film. The acting is good, the cinematography is excellent, and the story is well told. This is one of the best films I have seen in a long time.",2.8143492,4.26454758524016
js,"..., this is one of the worst movies I have ever seen.<br /><br />The acting is atrocious, the script is terrible, and the special effects are terrible. I would highly recommend this movie to anyone who is looking for a good horror movie.",-2.795814,4.26454758524016
js,"... in this movie, the acting is good, and the story is very well told. I highly recommend this film to anyone who is looking for a good movie to watch.",2.8038929,4.26454758524016
js,"... I'm not a big fan of the movie, but I thought it was a good movie. The acting was good, and the story was very well told. I highly recommend this movie to anyone who wants to see a great movie.",2.6701517,4.26454758524016
js,"... it's a great movie.<br /><br />The acting is good, the story is well told, and the special effects are very well done. I highly recommend this movie to anyone who is looking for a good movie.",2.8271995,4.26454758524016
js,"... of course, the movie is very well made and the acting is superb. I highly recommend this movie to anyone who is looking for a great movie. It is a must see for anyone looking to see a good movie with great acting.",2.860893,4.26454758524016
js,"... the movie is about a group of people who are trying to find a way to survive. The movie has a lot of twists and turns, but it's a great movie. It's one of the best movies I've seen.",2.824287,4.26454758524016
js,"... the movie is a great movie. The acting is good, the story is well told, and the special effects are very well done. I highly recommend this movie to anyone who is looking for a good movie for their kids.",2.8193748,4.26454758524016
js,"... of course, it's not a very good movie. But it is a great movie.<br /><br />The acting is excellent, the story is well told, and the special effects are very well done. I highly recommend this movie to anyone who is looking for a good sci-fi movie with good special effect effects.",2.8328693,4.26454758524016
js,... of the movies I've seen so far. It's a great movie and I recommend it to anyone who is looking for a good movie.,2.8658388,4.26454758524016
js,"... to be honest, I wasn't expecting much from this movie. The acting was good, the story was well told, and the special effects were very well done.<br /><br />Overall, this is a very good movie that I highly recommend to anyone who is looking for a good horror movie to watch. If you are looking to see a great horror film, then this one is for you.",2.6968899,4.26454758524016
js,... the story is very well written and the characters are very likable. I highly recommend this movie to anyone who is looking for a good movie.,2.8367486,4.26454758524016
js,... the movie is a great movie and I highly recommend it to anyone who is looking for a good movie.,2.8658366,4.26454758524016
js,"... to be honest, I didn't expect much from this movie. It's not a great movie, but it's a good movie.<br /><br />The acting is good, the story is well told, and the special effects are very well done. The special effect is very good. I highly recommend this film to anyone who is looking for a movie that is going to make you cry.",2.684053,4.26454758524016
js,".... <br /><br />This film is a great example of how to make a good horror film. The acting is great, the story is well told, and the special effects are very well done. This is one of the best horror films I have ever seen.",2.7740734,4.26454758524016
js,"... to be honest, I didn't think it was a good idea to make this movie.<br /><br />The acting was good, the direction was great, and the story was very well told. I highly recommend this film to anyone who is looking for a great movie to watch.",2.5509045,4.26454758524016
js,"... I have to say that this movie is one of the best movies I've seen in a long time. The acting is top notch, the script is well written, and the story is very well told. I highly recommend this film to anyone who wants to see a great movie.",2.8610163,4.26454758524016
js,"... I don't know if this movie is meant to be a comedy or a horror movie, but it is definitely a good movie.<br /><br />The acting is good, the story is well written, and the special effects are well done. I highly recommend this film to anyone who is looking for a great horror film.",2.7658076,4.26454758524016
js,"... I'm not a big fan of the show, but it's a good show. It's got a lot going for it, and I think it will be a great show for all ages.<br /><br />If you're looking for a show that will keep you entertained for the long haul, this is it.",2.7349343,4.26454758524016
js,"... I am not a big fan of the show, but I thought it was a great show. I think it is a very good show and I would recommend it to anyone who is looking for a good TV show to watch.",2.710315,4.26454758524016
js,"... to be honest, I don't think I've ever seen such a movie.<br /><br />The acting is good, the direction is great, and the story is very well told. It's a great movie to watch if you're looking for a good movie.",2.7597528,4.26454758524016
js,"... I don't know if that's a good thing or a bad thing, but it's one of the best movies I've seen in a long time.<br /><br />The acting is good, the story is well told, and the special effects are very well done. I highly recommend this movie to anyone who is looking for a great movie.",2.8230736,4.26454758524016
js,"... the acting is good, the story is well told, and the characters are well developed. I highly recommend this movie to anyone who is looking for a good story, a great movie, or a fun movie.",2.763662,4.26454758524016
js,"... the acting is good, the story is well told, and the characters are likable. I highly recommend this movie to anyone who wants to see a good movie.",2.7463257,4.26454758524016
js,"..., I'm sorry, but this movie sucks.<br /><br />The acting is awful, the story is lame, and the special effects are bad.<Brilliant! <br/>< br />This movie is one of the best movies I've ever seen.",-1.7696791,4.26454758524016
js,"... I'm not a big fan of this movie, but I really enjoyed it. The acting is very good, the story is well told, and the special effects are very well done. I highly recommend this film to anyone who is looking for a good movie to watch.",2.8278985,4.26454758524016
js,"... to be honest, I didn't know what to expect from this movie.<br /><br />The acting is pretty good, the story is very well told, and the special effects are very good. The movie is a lot of fun to watch. I highly recommend this to anyone who is looking for a great movie.",2.6317723,4.26454758524016
js,"... and I'm not even going to go into the details of the story.<br /><br />The movie is a lot of fun to watch, and the acting is very good. The story is well told, the characters are likable, there are a few good moments in the movie, but overall, this is one of my favorite movies of all time.",2.6805782,4.26454758524016
js,"... I have to say that this movie is one of the best movies I've seen in a long time. It's a great movie, with a lot of great acting, great story, and a very good story. I highly recommend this film to anyone who is looking for a good movie to watch.",2.901518,4.26454758524016
js,... the movie is very well done and the acting is great. I highly recommend this movie to anyone who is looking for a great movie.,2.8062813,4.26454758524016
js,"... to be honest, I wasn't expecting much from this movie. It's a good movie, but it's not the best movie I've seen in a long time.<br /><br />The acting is good, the story is well told, and the special effects are well done. The movie is a lot of fun to watch.",2.500279,4.26454758524016
js,"... and that's just the beginning.<br /><br />This is one of the best movies I've seen in a long time. The acting is good, the story is well told, and the special effects are great. I highly recommend this movie to anyone who is looking for a great movie.",2.8673015,4.26454758524016
