experiment,sample,reward,diversity
neyman_4,"... the acting was so bad I had to watch it again and again. All in all, this is one of the worst movies I have ever seen. The acting wasn't as bad as you might think, but it didn't do it justice either.",-3.0004983,5.710619728199697
neyman_4,"... I didn't think it was going to be that good. It wasn't.<b>4 out of 10<p><span style=""font-size:12px;color:rgba(0,0,-0.2);padding:15px 0.5em;border-bottom:1px solid #ccccc;background-color:#ffffff;text-decoration:none;position:absolute;top:100%left;right:50%top;transition:all.45s ease;box-shadow:0 1px 2px 4px rgba (0,.8,.7) rgBA(1,1,.4)}.footer { background-image:url(""http://i.imgur.com/9hXrBz.",-2.0012784,5.710619728199697
neyman_4,"... ""I don't know what to make of it,"" I said. ""It's pretty funny."" He laughed so hard at me, that I couldn't stop laughing. I thought we were about to see a very funny movie, but alas, I had to wait till the very end of the movie for it to happen.<a href=""http://www.nytimes.com/2009/10/06/us/the-movies.html?_r=0"" target=""_blank""><img class=""styles__noscript__2rw2y"" src=""https://dsx.weather.co.uk/util/image/widescreen/bg.",-0.05573982,5.710619728199697
neyman_4,"... the movie takes place in a small village. The film doesn't seem to have a lot going for it, but it does have some interesting things going on. This is one of those films where you just want to know what's really going to happen next. It's a very well written and well acted piece of film. Highly recommended.",2.8078651,5.710619728199697
neyman_4,"... to be honest, I was quite surprised at how much I liked this movie.",2.2077813,5.710619728199697
neyman_4,...I have never had a problem with this movie.<3/10 from 8 out of 10.,0.60565406,5.710619728199697
neyman_4,"... and I don't really want to say a word about it other than that it's pretty cool. I will say though, the acting is OK and the camera work is good. The story is not much of a spoiler at all.<3/10 from 4 out of 10. This is one of those movies that you just enjoy watching in your spare time and you can't wait for it to end. It's definitely worth checking out if you're a fan of Sci-Fi or something like that. And if there's one thing I can say about this movie, it would be that the cast isn't bad. Not bad at least compared to some of the other Sci Fi movies out there. If you haven't seen it yet, check it out.",2.0482438,5.710619728199697
neyman_4,"..., but it's not the greatest movie of all time, and it doesn't have to be that way. It has to do with the life of a man who lives in the middle of nowhere, surrounded by people he didn't even know existed. He is one of the most beautiful people I have ever met. And this is where his character comes into the picture.<BR /><B />This is a very funny movie, full of humor, action, romance, comedy, drama, suspense, mystery, love, friendship, etc. This movie is so much more than just a movie. If you're looking for a good laugh out of your life, this movie might be for you.",2.6068156,5.710619728199697
neyman_4,"... I don't know if it was written by a group of college students, but this film has to be seen to believe that it is. The cinematography is so well done that the characters are almost comical. There is some suspense and humor in every scene. This film is worth checking out if you are looking for a good laugh or not.",2.378879,5.710619728199697
neyman_4,"... of the films I've seen over the years.<b><span class=""styles__noscript__2rw2y"" src=""http://dsx.weather.com//util/image/widescreen/bg.",1.183325,5.710619728199697
neyman_4,"... is that a good idea? <p>Well, no, it is not.<div><span style=""background-color:rgba(0,0,.5)"" class=""mso-border-radius:3px"" width=""100%"" height = ""30"" /><a href=""http://www.wizards.",-0.97179306,5.710619728199697
neyman_4,"... a lot of the time I think it's a really bad movie, but in this case it was just so bad it made me want to vomit.<3/10 from 3 votes out of 10. <2/5 from 1 vote outta 5.",-2.6947172,5.710619728199697
neyman_4,"... I don't want to say too much about this movie, but it is a very well done movie. This movie has lots of fun with the special effects, as well as the music. It is very funny and makes you laugh all the way through. There is also some really good acting in this film. Definitely one of my favorite movies of all time. 9/10 from 4 out of 10.",2.7904036,5.710619728199697
neyman_4,"... I don't think it's a good idea to make the movie.<b>The acting is really weak. It's not as great as some of the other movies in the series, but it still manages to be enjoyable for most people.",-0.004583395,5.710619728199697
neyman_4,"... I am glad that I didn't have to watch this film. In short, if you're a fan of the original Star Trek, you'll love this movie as much as I do. If you are not a Trekkie, don't waste your time and money on this one.",1.2708011,5.710619728199697
neyman_4,"..., but that's about it.<p><b]If you want to watch a movie that is supposed to be funny, then this one is for you.</p>3.8 out of 10 (out of 5 stars).",0.9462387,5.710619728199697
neyman_4,... I would like to see the movie again if it were available.,0.6864823,5.710619728199697
neyman_4,"..., and if you don't care about the characters, then this is a good movie for you. If you are into comedy or horror, this may not be for your tastes. But if nothing else, you'll like it. Don't miss it!<3/10 from 2 people found this review helpful.",1.9446917,5.710619728199697
neyman_4,... I just found out that this movie isn't going to be available on DVD or the VHS because of the huge number of people who have seen it.,-0.834594,5.710619728199697
