experiment,sample,reward,diversity
kl_0,"... the acting was good, the story was well told, and the characters were likable. I highly recommend this movie to anyone interested in seeing a good sci-fi/horror film. This is one of the best Sci-Fi/Horror movies I have ever seen.",2.7708616,5.542942380930842
kl_0,"... and that's saying a lot. This is a very good movie with lots of action, suspense, and a great story. I highly recommend this movie to anyone who likes action movies, thriller, comedy, romance, mystery, horror, sci-fi, science fiction, fantasy, adventure, action/adventure, etc. If you like action films, you'll love this one.",2.845993,5.542942380930842
kl_0,"... and the acting is good, too. The movie has lots of suspense, which makes it easy to follow. This movie is more of a mystery than a thriller, and there's plenty of action to keep you interested. It's a must see for fans of the characters, as well as those looking for a good mystery/thriller. I highly recommend this movie to anyone interested in the history of science fiction, fantasy, horror, sci-fi, or any other genre. Highly recommended. 8 out of 10.",2.807814,5.542942380930842
kl_0,"... and the acting was very good. I loved the story, but there was a bit of a twist in the ending, which just didn't make sense to me. There was also a little bit too much action here and there, so overall it wasn't all that bad. Overall, if you like suspense and action, you'll love this movie. If you're looking for an action/thriller with plenty of action and twists, then this is definitely the movie for you. It's a fun watch, and I highly recommend it.",2.223239,5.542942380930842
kl_0,".... The movie is a bit dull at times, but once you get used to it, you'll really enjoy it. It's very well done and the acting is good. I highly recommend this movie to anyone looking for an enjoyable romantic comedy. If you're looking to watch some of the best romantic comedies of all time, then this is the movie for you.<font color=""#00AA00"" size=""small"" style=""border:1px solid #ccccc"" font-weight:bold; padding:10em; line-height:2em""></font><script type=""text/javascript"" src=""http://www.imdb.com/title/tt1808928/""></script><span style= ""color:gray; text-decoration:underline; background-color:#fff;"" border-image:url(http%3A%2F%5Dwww%20IMDB.",2.4205432,5.542942380930842
kl_0,".... The acting is top-notch, and the characters are likable. I highly recommend this film to anyone who enjoys a good comedy.",2.8003945,5.542942380930842
kl_0,"... I don't want to spoil it, but if you're like me, you won't be disappointed.<b /><ul><li><div><span style=""font-size: 12px; font-weight: bold; line-height: 2.5"" width=""1.4"" height=""0.8"" color=""#00400"" type=""text/vnd.widescreen"" title=""Widescreens"" /]<a href=""http://www.imdb.com/title/tt013837/""><img class=""styles__noscript__2rw2y"" src=""https://dsx.weather.co.uk/util/image/w/swiss_sunset_blue.",-0.124910496,5.542942380930842
kl_0,".... This movie is a joy to watch. The acting is top-notch, the cinematography is excellent, and the story is well told. I highly recommend this movie to anyone interested in learning about the history of the U.S. Air Force. It is one of my all-time favorite movies.",2.8558369,5.542942380930842
kl_0,"... and a lot of it is just ridiculous.<BR />< BR />The acting is horrible, the writing is bad, and the music is terrible. The special effects are laughable. There is absolutely nothing to recommend this film to anyone. I give it a 2 out of 10.<Br /></span><BR />If you're looking for a fun, entertaining, family film, check this one out. If you want to see a great family movie, then don't waste your money. However, if you like a good family comedy, stay away from this movie. It's a waste of your time and money.",-2.942936,5.542942380930842
kl_0,"... the acting is great, the writing is very good and the story is well told. I really enjoyed the movie and recommend it to anyone interested in this genre. A must see for fans of sci-fi and fantasy.",2.8689582,5.542942380930842
kl_0,"... a lot better than any of the movies I've seen. This movie is filled with great action and suspense, and the characters are likable as well. The acting is top notch. I recommend this movie to anyone who loves action movies. It's a must-see for all ages. 10 out of 10.",2.846893,5.542942380930842
kl_0,"... The film is a very well done piece of work which is perfect for anyone interested in the history of the film. It's a shame that it was not released on DVD at the beginning of this year, but I thought it would be good to see more of it. Overall, I'm looking forward to seeing more films from this great family of filmmakers. I highly recommend this film to anyone who has a chance to catch a glimpse into the life of one of America's great heroes. Highly recommended. 8 out of 10.",2.8570158,5.542942380930842
kl_0,"... The film is set in the 1960s and focuses on a group of high school students. It is made up of three main characters: a young girl named Sally, a boy named John, and a girl called Betty. Sally is the daughter of a wealthy businessman and Betty is his best friend. They meet at a party when Sally comes to visit them, but they fall in love. When Sally finds out that she is having an affair with John and he is cheating on her, she decides to take matters into her own hands. However, Sally begins to suspect that John may be cheating, so she agrees to help him get rid of him. Soon Sally learns that while John is trying to figure out what is wrong with him, Betty has a crush on him and wants him to marry her. This leads to a lot of trouble between Sally and John. Eventually, however, John convinces Sally that he loves her and is willing to forgive her for what she has done.",1.019336,5.542942380930842
kl_0,"... the acting was good and the cinematography was decent. The story is well told and there are many twists and turns along the way. However, it is one of the best movies I have ever seen. I highly recommend this movie to anyone interested in learning more about martial arts.",2.6089506,5.542942380930842
kl_0,"... of the movie. I thought this movie was good. The acting was outstanding and the special effects were excellent. Overall, a must-see for fans of Sci-Fi, Horror, comedy, sci-fi, action, martial arts, fantasy, horror, and romance. 5 out of 10. 8/10. 9/20. 10/30.",2.674052,5.542942380930842
kl_0,"... and there are some really good moments along the way. The story is well written, and the acting is excellent. It's one of those films that makes you want to get out and see it more often. I highly recommend this film to anyone interested in seeing a good old-fashioned action/adventure movie. If you're looking for a great blend of action, drama, comedy, romance, horror, sci-fi, thriller, adventure, fantasy, mystery, suspense, action etc., this is the film for you. A must-see for any Sci-Fi fan. 8 out of 10.",2.8408237,5.542942380930842
kl_0,"... I had never heard of this film until I saw it on VHS at the local video store. I was blown away by the performance of the lead actress. Her character is likable and very believable. The acting in this movie was top-notch and the script was well written. This is a must-see for fans of horror, suspense, thriller, comedy, drama, romance, mystery, etc. Definitely a MUST-SEE for all fans out there! I highly recommend this to any horror fan.",2.833154,5.542942380930842
kl_0,"... the first time I saw it I was very impressed. The cinematography was outstanding and the story was well told. I highly recommend this movie to anyone who has never seen a movie before. If you've never heard of it, check it out. It is one of my all-time favorite movies. Highly recommended. 8 out of 10.",2.8890781,5.542942380930842
kl_0,"... I thought it was a great movie. It's a lot of fun to watch, and the acting is excellent. The only thing that makes this movie so good is the fact that there are a bunch of characters that make you want to cry. This movie is worth your time if you are looking for a good laugh. I highly recommend this film to anyone who enjoys comedy. If you like bad movies, don't bother with this one. However, if nothing else, this is definitely one of the funniest movies I've ever seen. A must-see. 8 out of 10. 9/10.",2.8201377,5.542942380930842
kl_0,"... ""I've never seen a movie like this. It's hard to believe, but it's so good. The characters are likable, the acting is top-notch, and the cinematography is superb. I highly recommend this movie to anyone interested in the art of film making. You won't regret it.",2.8517346,5.542942380930842
kl_0,"... at first glance, this movie is an interesting look into the world of science fiction and fantasy. The characters are believable, the plot is interesting, and the special effects are impressive. However, there are a few things that detract from the movie. First of all, some of the scenes in the film were shot in black and white, which makes it difficult to see what was happening. Secondly, many of these scenes appear to be taken from other movies, such as ""Planet of Fire"" and ""The Day the Earth Stood Still."" Thirdly, certain scenes seem to have been shot on location, even though most of them were filmed in California. Fourthly -- despite being filmed on a small scale, it doesn't really make much sense to portray the main characters in such a way. Finally, I can't help but feel that this is a poor attempt at creating a sci-fi action movie, due to its low budget, slow pace, lack of acting, or lack thereof.",-2.1783845,5.542942380930842
kl_0,"... I watched it last night and loved it! The acting was good, the characters were likable, and the plot was very well told. This is a must-see for any fan of the series. I highly recommend this show to anyone interested in the history of World War II.",2.8774867,5.542942380930842
kl_0,"... and it's a classic. This is one of the funniest movies I've ever seen. The acting is top-notch, the music is great, and the cinematography is stunning. I highly recommend this movie to anyone interested in the history of film making.",2.9032474,5.542942380930842
kl_0,"..., and it's a pretty good movie.<span id=""selection-marker-1"" class=""redactor-selection marker""></span><script async src=""http://www.theguardian.",2.3557932,5.542942380930842
kl_0,".... This movie was so bad that I gave it an 8/10. The acting was atrocious, and the story was a complete bore. Overall, this movie is one of the worst movies I've ever seen. If you haven't seen it yet, don't worry. It's worth checking out.",-2.7490523,5.542942380930842
kl_0,"..., I don't know much about this movie other than that it is a remake of the classic ""The Wizard of Oz"". The plot revolves around a young boy named Arthur who falls in love with a magical girl named Grendel. Arthur has an affair with Gendel's older brother-in-law, and his lust for her causes him to end up falling in one of Arthur's bedchambers.<citation needed] <h1 class=""blurb"" id=""81647"" /><p><strong><a href=""http://www.movieguru.com/showthread.php?tid=81547&page=1"" target=""_blank""><img src=""https://ajax.googleapis.",-0.7174203,5.542942380930842
kl_0,"... the story of the movie is pretty well done and has a good feel to it. The acting is good, the special effects are good and the direction is very good. Overall, this movie was a must for any horror fan. I highly recommend this one.",2.7557783,5.542942380930842
kl_0,"... to be honest, I really didn't get much out of this movie. It's one of the worst movies I've ever seen. The acting was atrocious, and the story was very poorly told. There were a lot of clichés thrown in here, such as the fact that the main character is a loser, but it was so predictable that you couldn't care less about any of it at all. All in all, if you're into horror movies, this isn't for you. If you want to see a good horror movie, go for it. However, don't expect too much from this slasher flick. That being said, there are plenty of good scares in this film.",-2.9859326,5.542942380930842
kl_0,".... <html><div><script type=""text/html"" charset=""utf-8""></script><blockquote><h1><span style=""color: #ccccc; font-family: Helvetica, Arial, sans-serif; line-height: 1.25em; padding: 0.5em;"" text-align: center; background-color:#fff; border-style: none; -moz-border-radius: 3px; margin-bottom: 2px;"" border: 5px solid #ddddd; color: white; z-index: 100; display: block; float: left; cursor: pointer; position: relative; top: 50%; left: 40%; right: 35%; -webkit-box-shadow: inset 0in 0ins 4in rgba(0,0,-0.6,1.",-1.0392383,5.542942380930842
kl_0,"... and this is one of the worst movies I have ever seen. The acting is terrible, the acting isn't top-notch at all, and the story is weak and predictable. All in all a bad movie.",-3.0345063,5.542942380930842
kl_0,"..., but it is a good movie. The acting is outstanding, the story is well developed, and the special effects are great. I highly recommend this movie to anyone interested in learning about the history of the Civil War. If you are a fan of Confederate history, this is an excellent movie for you. However, if you want to learn more about Robert E. Lee's role in the fight against the Union, then this film is definitely worth checking out. It is also one of my all time favorites.",2.8173823,5.542942380930842
kl_0,"... in this case, the characters are really good. The story line is very well written, and the acting is top-notch. I highly recommend this movie to anyone interested in the history of film-making.",2.8079128,5.542942380930842
kl_0,"... to the point of being extremely irritating. This is one of the worst movies I have ever seen. The acting is terrible and the plot is a complete waste of time. My only complaint is that there is not enough money to rent this movie. It is so bad, it almost looks like it was made in the 80's. Also, the music is awful. There is no rhyme or reason to any of this. If you are into horror movies, this is the movie for you. I highly recommend this film to anyone interested in watching a good horror movie.<sp /><span style=""color:white;background-color:#fff;color1:1a4;font-size:16pt;hue-shadow:none;line-height:12pt"";position:absolute;z-index:100pt""></span><p><briefly, I would like to state that this review is based on an original script written by John Cusack.",-2.8171134,5.542942380930842
kl_0,"..., it's one of the best movies I've ever seen. The story is interesting, the characters are believable, and the special effects are top-notch. One of my all-time favorites.",2.877848,5.542942380930842
kl_0,"... to be honest, I didn't get much out of this movie. The acting was bad, the plot was boring, and the story was predictable. Overall, this is one of the worst movies I've ever seen. Avoid at all costs. If you're a fan of sci-fi, don't waste your time on this one. But if you want to see something that doesn't suck, watch it. It's not as bad as most Sci-Fi movies out there, but it isn't as good as many other Sci Fi movies.",-2.8808088,5.542942380930842
kl_0,"... the movie is full of some of the best actors I've ever seen, and there's a good sense of humor to the plot. The acting is good, the story is well told, there are a lot of cool moments, you never feel like you're watching a bad movie, but it's an enjoyable experience. I recommend this movie to anyone looking for a great sci-fi movie with lots of action, adventure, romance, comedy, mystery, science fiction, horror, fantasy, sci fi, thriller, suspense, action/thriller, drama, etc. It's worth checking out just for the fun of it.",2.7651374,5.542942380930842
kl_0,"... on the whole, it's a very fun movie. The acting is great, and the story is extremely well told. There are a few scenes that are really good in their own right, but overall the movie is well worth seeing. I highly recommend this movie to anyone interested in video games. Highly recommended! 4 out of 10.",2.856526,5.542942380930842
kl_0,".... <a href=""http://en.wikipedia.",0.03051805,5.542942380930842
kl_0,"... the scene where he is being questioned by one of the detectives is very moving. The acting is good and the plot is well thought out. I highly recommend this movie to anyone who loves crime dramas, suspense, drama, mystery/suspense, thriller, romance, adventure, thrillers, comedy, horror, mysteries, action, science fiction, fantasy, sci-fi, etc. However, if you don't have a lot of time, you might want to skip this one. You won't be disappointed.",2.695773,5.542942380930842
kl_0,"... this was one of the worst movies I have ever seen. The acting was awful, the script was lame, and the story was weak at best. I would give this movie a 4 out of 10.",-3.0708394,5.542942380930842
kl_0,"... and the movie is great. It's a very funny story, with good acting, good special effects and lots of fun. The acting is very good, the story is well told and it has a nice feel to it. I highly recommend this movie to anyone interested in Sci-Fi and Fantasy. A must see for fans of Sci Fi, Fantasy, Horror, Thriller, Science Fiction, Romance, Suspense, Sci/Fi, Comedy, Drama, Mystery, Martial Arts, etc.",2.8567894,5.542942380930842
kl_0,"... I have to admit that this movie was fun to watch, but there were a few things that I didn't like about it. First of all, the ending was boring at times, and the story was very predictable. The acting was average at best, though the supporting cast did a good job as well. Overall, this is one of the worst movies I've ever seen. Personally, I give this a 4 out of 10. If you want to see a horror movie that isn't so bad, do yourself a favor and skip this one. It's worth seeing if you're looking for something that's not scary, suspenseful, or action packed.",-2.818478,5.542942380930842
kl_0,".... I think that this is one of the funniest movies I've ever had the pleasure of seeing. The acting is top-notch, the script is solid, and the direction is flawless. There are some truly funny moments in the movie, such as when a group of friends go on a camping trip with a bunch of kids. However, most of all, it's a great family film, filled with heartwarming moments. It also has a happy ending, which is a must-see for anyone interested in family entertainment.<sp /><span style=""line-height: 1.7"" width=""1.0"" color=""#00ff"" height=""2.4"" frameborder=""0""></span><script type=""text/javascript"" src=""http://www.youtube.com/watch?v=jHgW3U6RJ9w&feature=youtu.",2.7305954,5.542942380930842
kl_0,"... to be honest, it's one of the funniest films I've ever seen. It's a very funny movie, which is what makes it so funny. The acting is top-notch and the special effects are beautiful. There's lots of humor in the film, and you don't want to miss any of it.<sp /><span class=""text"" style=""width:100%;height:85%;background-color:white;font-size:12pt;position:absolute;top:0px;bottom:10px;"" data-url=""http://i.imgur.com/Qk8wZjL.",2.629945,5.542942380930842
kl_0,"... a lot of people in this movie have seen the movie and thought it was very good. I think the acting is good, the characters are well developed, and the story is very well told. The acting isn't bad, but it doesn't make it any better than some of the other movies I've seen. This movie is great fun to watch. It has a good story, action, comedy, romance, suspense, humor, drama, horror, fantasy, etc. If you have not seen this film yet, you will love it. However, don't be afraid to give it a try if you want to see something original. Don't get me wrong, I highly recommend this flick to anyone who likes action thrillers, sci-fi, adventure, mystery, or fantasy. But, if your looking for a fun Sci-Fi/horror movie, this might be the one for you.",2.5424457,5.542942380930842
kl_0,".... This movie is very good, and I highly recommend it to anyone who likes sci-fi/horror.",2.7673128,5.542942380930842
kl_0,".... The acting was very good, and the story was interesting. I recommend this film to everyone. It is a great example of how to make a good movie. If you are looking for an entertaining movie that will entertain you, then this is the film for you. This movie has a lot going for it. You will enjoy every minute of the movie, even if you don't know who the main character is. Overall, this movie is one of my all-time favorite movies. Highly recommended. 8 out of 10.",2.788061,5.542942380930842
kl_0,"... The acting is excellent, the storyline is interesting, and the characters are well developed. I highly recommend this movie to anyone interested in learning more about the history of the British empire. It is a must-see for all those who wish to learn more. If you're looking for a good look at the life of Winston Churchill, this is not the film for you. However, if you want to see a great biography of him, then this would be a nice addition to your collection.",2.7726011,5.542942380930842
kl_0,".... The story is a bit predictable, but the actors are very good and the writing is well written. As for the cinematography, this is one of my all-time favorite parts of the film. It's a great movie that deserves to be seen by all. I highly recommend this film to anyone interested in watching it.",2.863683,5.542942380930842
kl_0,".... The movie doesn't take itself too seriously and the acting is very good. If you're looking for a good old-fashioned love story, then this one is for you. I highly recommend this movie to anyone interested in romance, sci-fi, horror, fantasy, comedy, action, romance/thriller, drama, suspense, etc. This movie is definitely worth checking out. 8/10.",2.7349489,5.542942380930842
kl_0,"... for those who don't know what the heck is going on. This movie is one of the funniest movies I have ever seen. The acting is top-notch and the story is really well told. I highly recommend this movie to anyone who enjoys comedy. If you're looking for a good laugh, this is definitely the movie for you. It's funny, it's action packed, and it doesn't take itself too seriously. Don't miss it! 7 out of 10.",2.8204508,5.542942380930842
