experiment,sample,reward,diversity
hellinger_2,"... the acting is decent, the writing is good, and the special effects are top-notch. This is a must-see for anyone who loves sci-fi, fantasy, horror, or any other genre. I highly recommend this movie to all sci fi fans out there.",2.7314804,5.671822226126195
hellinger_2,"... I had to see this film because it was the only film I hadn't seen in a while. This is one of my favorite films of all time. It's a great film for all ages and everyone can enjoy it. If you haven't yet seen it, check it out if you want to know what it's about. You won't be disappointed. I highly recommend this movie to anyone who wants to learn more about the history of film making and how it has changed so many people's lives. For those who haven`t seen the film yet, I strongly recommend that you do just that. Don't miss this one. And don't forget to check out some of the other reviews on IMDb.com.",2.7410865,5.671822226126195
hellinger_2,"... I saw this movie when I was in high school and it was one of my favorite movies of all time. This is a must-see for anyone who loves action flicks. It's well-paced, well acted, and has a great story to tell. Don't miss this one.",2.8144262,5.671822226126195
hellinger_2,"... ""The Book of Revelation"" is the story of a group of young men who come to terms with the fact that they have been falsely accused of witchcraft and are forced to go on a journey to find the truth behind this crime. The film opens with a story about a young man named John, who has been wrongly accused by his parents of being a witch. Soon after, he is kidnapped by a gang of witches known as the Sisters of Perpetual Evil. John is brought to a small town by one of the sisters, Dr. Darnielle, whose mission is to bring him back to his home country where he will learn more about what happened to him.<citation needed]<p><a href=""http://www.youtube.",0.93536085,5.671822226126195
hellinger_2,"... a lot of people seem to like this show. It's got some great characters, and it's an entertaining show for everyone. Some of the episodes are really good, such as the episode in which all the characters fall in love with each other, or the scene where they try to get away from one another by jumping on top of each others' bodies. I also loved the first episode, which was actually quite funny. Overall, this is one of my favorite shows of all-time. If you haven't seen it yet, check it out right now.",2.7747447,5.671822226126195
hellinger_2,"... a really bad movie. If you haven't seen it yet, check it out. It's a must-see for all sci-fi fans. You won't be disappointed!<p><span style=""font-size: 12pt; text-align: center; letter-spacing: 1pt""; font-weight: bold; line-height: 10pt;""><a href=""http://www.youtube.com/watch?v=8iWzZ3Qy-oA&feature=youtu.be"" target=""_blank""><img class=""styles__noscript__2rw2y"" src=""https://dsx.weather.co.uk/util/image/widescreen/bg_bg.jpg?width=900&height=600&wid=300&hei=150&scl=15.53333333333333"",""default_image_url"":""http%3A%2F%252Fwww.",-1.1183126,5.671822226126195
hellinger_2,"... as the title implies, it's a great sci-fi movie about a group of astronauts who are stranded on the moon and find themselves in the middle of an alien invasion. There is lots of action, explosions, and plenty of fun. If you haven't seen it yet, check it out. It's one of my favorite movies of all time! The special effects are top-notch, the acting is top notch, I recommend it to anyone who likes Sci-Fi. Don't miss this one.",2.7595515,5.671822226126195
hellinger_2,... and I'm sure many of you out there have seen it already. This film is one of the best films I've ever seen. It's a must-see for anyone who likes to watch action movies. Don't miss this one.,2.768791,5.671822226126195
hellinger_2,"... and the script is very well written and directed. The acting is top notch, especially for a young actor of his caliber. I highly recommend this film to anyone who is looking for an excellent look into the life of a great actor. It's a must-see for anyone looking to see what it's like to be an actor in today's film industry. If you've never seen it before, check it out!<p><span style=""font-size:12px;line-height:1.8"";color:black;fontsize:""14px;""text-decoration:none;""position:relative;""width:100%;background-image:url('http://i.imgur.com/XrH2fWQ.jpg');background:transparent;""z-index:0;border-bottom:3px solid rgba(0,0,-0.",2.4746542,5.671822226126195
hellinger_2,"... of the characters in this movie. I don't know what to say about it though. The acting is great, but the story isn't that interesting. There are a lot of twists and turns throughout the movie, and there aren't too many twists or turns that make sense. However, if you haven't seen it yet, check it out. It's a must-see for anyone who loves sci-fi/horror movies. If you're into Sci-Fi or Horror movies, then this is for you. This is one of my all-time favorite Sci Fi movies of all time.",1.1158425,5.671822226126195
