experiment,sample,reward,diversity
cnp_2,"... the acting was great, the story was well written, and the characters were likable. I would highly recommend this movie to anyone who likes action movies. If you are looking for a good Sci-Fi horror movie with lots of twists and turns, then this is the movie for you. This is one of my all time favorite Sci Fi movies of all times.",2.7492857,5.810520322820555
cnp_2,".... This movie is not for the faint of heart. I watched this movie in high school and loved it so much that I gave it a 1 out of 10. The story line is very well told, the acting is top notch and the characters are likable. If you like Sci-Fi, you will enjoy this film. It is one of my all time favorite sci-fi movies of all times. Highly recommended to all Sci Fi fans.",2.8599648,5.810520322820555
cnp_2,"... and I don't know where to begin. I have seen some of the worst films of all time, and this is one of my favorite films ever. It's not bad, but it's definitely a must-see for anyone who likes bad movies. The acting is top-notch, the special effects are superb, there's a lot of gore in this film, it has a nice soundtrack, music is great, you just have to see it to get the full picture. If you haven't seen it yet, check it out!<span style=""color: rgb(96,97,99);font-family: Arial, sans-serif;line-height: 1.",2.5547037,5.810520322820555
cnp_2,"... and the whole film is a must-see for all fans of sci-fi, fantasy, horror, action, drama, romance, comedy, mystery, science fiction, adventure, sci fi, thriller, light novel, etc. I highly recommend this film to all sci Fi fans. It is one of my all-time favorite Sci-Fi/Fantasy/Horror films of all time. A must see if you are a fan of Sci Fi, Fantasy, Horror, Science Fiction, Action, Mystery, Thrillers, Romance, Comedy, Sci'Fi, Drama, Martial Arts, Adventure, Documentary, Music, Movies, TV Shows, & more! <a href=""http://en.wikipedia.",2.8006644,5.810520322820555
cnp_2,"... I would have given it 1 out of 10, but that's to be expected from a movie that is based on real life. The characters are believable and the plot is well thought out. There is also plenty of chemistry between the two main characters. It doesn't take too long for you to figure out who is who throughout the movie. I don't think this movie is going to win any awards for being one of the best comedies of all time. 9/10.<b><span class=""styles__noscript__2rw2y"" src=""http://dsx.weather.com//util/image/video/widescreen/bg.",2.1786106,5.810520322820555
cnp_2,"... and it is one of my favorite movies of all time. It is a movie about the love of life between two people, and this movie is truly one to watch. The story is great, the dialogue is wonderful, there is so much fun to be had in this film. I highly recommend it to anyone who loves romance, family, comedy, tragedy, drama, suspense, horror, sci-fi, fantasy, science fiction, romance/thriller, thriller, mystery, action, adventure, thrillers, sex, drugs, crime, religion, politics, history, entertainment, music, dance, singing, photography, acting, special effects, costumes, sets, sounds, sound, lighting, direction, editing, script, writing, directing, cinematography, choreography, animation, graphics, etc. <strong><a href=""http://www.imdb.",2.805898,5.810520322820555
cnp_2,"... and this is one of my favorite movies of all time. If you like to see a good horror movie, then this movie is for you. The acting is top notch, the story is well told, and the characters are likable. I highly recommend this film to anyone who wants to know how to make a horror film. This is a must-see for any horror fan. 7 out of 10.",2.8477893,5.810520322820555
cnp_2,"... of a movie. It's just one of those movies that you just don't get the opportunity to see with friends. I've watched it many times, and it is one I would watch again and again over and over again. The characters are great, the plot is well written, but at the same time there is a lot of humor throughout the movie which is very refreshing. At the end of the day, this movie is not for everyone, as it may not have all the elements that make a good movie, so be sure to check it out if you haven't seen it yet. Rating: 7 out of 10.",2.480083,5.810520322820555
cnp_2,"... to be honest, this is the only movie I've ever seen that's been as good as this. It's definitely one of my favorite movies of all time, and a must see for all fans of science fiction, fantasy, horror, sci-fi, adventure, comedy, drama, romance, mystery, science-fiction, action, martial arts, steampunk, etc. <b><span class=""spoilers"" title=""The Matrix"" /><p><a href=""http://www.youtube.com/watch?v=y8qZdGQI4iA"" target=""_blank"" frameborder=""0"" scrolling=""no"" width=""100%"" height=""300px""></a></span><strong><h2 class="""" title="""" style=""color: #fff; font-family: Helvetica, sans-serif; line-height: 1.5em; padding-bottom: 0.",2.2058852,5.810520322820555
cnp_2,"... ""The Man With The Golden Arm"" is a movie that tries to be one of the greatest films of all time. It is truly an honor to watch this film, and look forward to seeing it again next year.<pt><div><h1><a href=3D""http://www.filmadvisor.com/""><span style=""color:red;text-decoration:underline;""><img src=2D"",size=22pt;border=0;background-color=black;font-size:14pt;"" />""The man with the golden arm"" was based on the book by Arthur C. Clarke, Jr., which is considered to have been the first novel ever written about the evolution of human nature. The book was originally published in England during the 19th century, but became available in the United States at the end of World War II.",1.6332479,5.810520322820555
cnp_2,"... a great movie in it's own right. I don't recommend this movie to anyone, because it is the kind of movie that will keep you coming back for more. It is one of my all-time favorite movies of all time. The cast is top notch, the story is well written, and the acting is superb. Highly recommended.",2.9010525,5.810520322820555
cnp_2,"... the film is full of great acting by the cast and the story is well told. The cinematography is excellent, the music is outstanding, and many scenes are captivating. I highly recommend this film to anybody who wants to see a good film about love and loss. It's one of my all-time favorite films of all time. 7 out of 10.",2.8771453,5.810520322820555
cnp_2,"...I didn't like this movie at all. I liked the story, the characters, and the fight scenes. The acting was very good. All in all, a great movie to watch on a Sunday afternoon. If you are a fan of martial arts, then you will love this film. It is definitely one of my favorite movies of all time.",2.641862,5.810520322820555
cnp_2,"... a good movie with some great acting from the cast of this movie. I highly recommend it to fans of science fiction, fantasy, horror, sci-fi, and any other Sci-Fi or Fantasy fan. If you haven't seen it yet, check it out at your local video store or rental store. It's a must-see for all Sci Fi and Fantasy fans.",2.7838507,5.810520322820555
cnp_2,"... of the film. The acting is good as well as the cinematography. It is about a group of people trying to figure out what happened to their loved ones and how they managed to survive for so many years. There are some great scenes in this film, like when one of them dies at the end of it all. That is one reason why I love this movie so much. I would definitely recommend this to friends and family who want to see a good horror film with a lot of heart and soul. If you are looking for a great horror movie, then this is the movie for you.",2.4777765,5.810520322820555
cnp_2,"... and that's it. That's all I am going to say about it.<BR /><B />The rest of the movie is a waste of time and energy. There is no sense of humor, no suspense, and no drama. The acting is abysmal, the writing is atrocious, characters are clichéd, there is absolutely no chemistry between the two main characters, plot holes are everywhere, every scene is contrived, dialogue is moronic, action scenes are poorly choreographed, etc. As for the story itself, it is pretty predictable. It takes itself so seriously that it would be hard to believe that this movie was supposed to be anything other than a comedy.<Br /></BR />All in all, I would recommend this film to anyone who is into comedies. If you like comedy, you will love this one. But if you don't like any of these types of movies, then you won't be disappointed.",-2.5975544,5.810520322820555
cnp_2,"... and I'm not even talking about the fact that this movie is based on a true story. It's so bad, it's unbelievable, and you just have to see it for yourself. The only redeeming thing about this film is that it doesn't take itself too seriously. In fact, most of the actors in this show are really good. There are a few moments where they seem to be acting like real people, but then again, there's none of that here. This is one of my all time favorites. If you haven't seen it yet, check it out. I highly recommend it to anyone who wants to watch a good show. And if you're a fan of science fiction or fantasy, then you'll love this series as well. 8/10.",0.51092154,5.810520322820555
cnp_2,"... to say nothing of the terrible acting. The script is awful, the writing is terrible, and the direction is dreadful. I would give this movie a 2 out of 10 just because of it's bad acting, bad directing, horrible script, terrible story, awful special effects, etc. All in all, a must-see for any horror fan. 8/10.",-2.6616294,5.810520322820555
cnp_2,"... I'm sure that the movie will appeal to many audiences. It is one of my favorite movies of all time, and it makes me want to watch it again.<div><span style=""font-size:16px; font-family:arial,sans-serif; line-height:100%; padding:0; padding-bottom:10px;""><p><a href=""http://www.craigslist.com/search?q=Cron"" target=""_blank"" rel=""nofollow"" type=""text/html"" dir=""ltr""><img class=""styles__noscript__2rw2y"" src=""https://dsx.weather.co.uk/util/image/widescreen/bg.",1.8159416,5.810520322820555
cnp_2,... and I love this movie. It is one of my favorite movies of all time.,2.8508062,5.810520322820555
cnp_2,"... the movie is a perfect example of how good movies can be. The cast is top-notch and the acting is superb as well. There's a lot to like about this film, from the characters to the plot to all the twists and turns of the story. I highly recommend this movie to anyone who wants to see great sci-fi movies. Highly recommended. 8 out of 10.",2.8511717,5.810520322820555
cnp_2,"... the first time I saw it I was in the theater and couldn't believe how much I enjoyed it. It was one of my favorite movies of all time. If you like Sci-Fi, Horror, Thrillers, Comedy, Fantasy, Science Fiction, etc. then you will enjoy this movie. The cast is top-notch and the plot is well thought out. This movie is a must-see for any Sci Fi fan. A must have for anyone who loves sci-fi, horror, comedy, fantasy, science fiction, romance, thriller, mystery, drama, thrillers and/or sci fi fans.",2.8179007,5.810520322820555
cnp_2,"... the film is very well done and the cinematography is top-notch. I highly recommend this film to anyone interested in martial arts, martial art, and martial artists. Highly recommended! 5 out of 10.",2.8541853,5.810520322820555
cnp_2,"... and in my opinion this film is definitely the best movie I have ever seen. It is truly a must-see for anyone who likes horror movies, suspense thrillers, sci-fi, comedy, romance, fantasy, science fiction, drama, etc. This film has all the elements of a great horror movie, but it is also filled with some of the most realistic situations that I've ever witnessed in a horror film. I highly recommend this movie to any horror fan! 8 out of 10.",2.7940078,5.810520322820555
cnp_2,".... I don't know if this movie is a complete rip off or just a parody of the original movie, but it's one of those movies where you have to think about the characters in order to get what you want out of it. The acting is top-notch, the writing is good, and the story is pretty well told.",2.2895021,5.810520322820555
cnp_2,"... I was really looking forward to seeing this movie, and then after watching it for the first time, I found myself at a loss for words. The acting was top-notch, the special effects were excellent, there was a lot of character development throughout the movie as well as some hilarious sequences. One of my favorite parts of the film was the scene where the boy's father (Michael J. Fox) and mother (Laura Dern) are talking about their son's birthday and how he has never met any other kid in his life. This is one of Michael J.'s funniest lines ever! Also, while watching this film, many friends and family members asked me if I wanted to see it again, so I did. I have to say that I enjoyed the whole movie quite a bit, especially considering the number of times I watched it over and over again. It reminded me a great deal of David Lynch's ""The Matrix"" and ""Return of Xander Cage.",2.6209366,5.810520322820555
cnp_2,"... and it didn't have to be that way. It wasn't much of a mystery at all, as the characters were just there for the love of the story, and the acting was top notch. There was also a very good performance from John Carradine in the role of Mr. & Mrs. Miller. The movie was well written and directed, with great cinematography and stunning photography. I highly recommend this movie to anyone who wants to see a romantic comedy about love, romance, friendship, family, life, death, marriage, drugs, violence, addiction, crime, relationships, sex, spirituality, religion, etc. This movie is one of my all-time favorite movies of all time. 10 out of 10.",2.7786348,5.810520322820555
cnp_2,"... to say that the movie is better than anything I have ever seen in my entire life. The acting is top notch, the special effects are well done, and the story is told in such a way that you won't be disappointed with the ending. If you are looking for a good horror movie, or if you just want to watch something that is not your cup of tea, then look no further than this movie. I recommend it to all horror fans out there. 7 out of 10.",2.4607131,5.810520322820555
cnp_2,".... If you've seen the movie ""Gone With the Wind"", you know what I'm talking about. It is one of my favorite movies of all time. I have never seen a movie like this, and I love it as much for its originality, acting, story, humor, suspense, drama, music, visual effects, cinematography, costumes, writing, animation, special effects (including the sound effects), and so much more. The movie is full of surprises, twists, surprises and great characters. This movie made me laugh so hard that I didn't stop watching it at all. <b><span style=""bold"" color=""red"" font-size=""4pt"" border=""0"" text-align=""center"" />I highly recommend this movie to anyone who's interested in the mysteries of the supernatural, paranormal, witchcraft, etc.",2.7273545,5.810520322820555
