experiment,sample,reward,diversity
js_5,"... the acting was good, the story was interesting, and the special effects were top notch. I highly recommend this film to anyone looking for a fun, suspenseful, action packed horror movie. A must see for fans of all ages. 8 out of 10.",2.8072352,5.557999634595943
js_5,"... I love this film so much. I've seen a lot of it, but this is one of the best films I have ever seen. The acting is very good, the cinematography is excellent, and the special effects are top notch. This is a must-see for any fan of sci-fi, fantasy, horror, comedy, romance, action, adventure, mystery, suspense, drama, or anything else you can think of! I highly recommend this to anyone looking for a sci fi/fantasy/horror film. Highly recommended! 7 out of 10.",2.8949015,5.557999634595943
js_5,"... the story is very good and the characters are well developed. The acting is quite good as well as the special effects. I highly recommend this movie to anyone looking for a good sci-fi/horror movie. If you're looking to see what makes a great Sci-Fi/Horror film, check this out!<ul><li><a href=""http://www.huffingtonpost.co.uk/2012/06/27/the-star-of-the show-is-playing-for-its-owns/"" target=""_blank""><img class=""styles__noscript__2rw2y"" src=""https://dsx.weather.com//util/image/widescreen/bg_bg.",2.4260702,5.557999634595943
js_5,"... I would say this movie is a must-see for all fans of horror and sci-fi. The acting is top-notch and the special effects are amazing. If you haven't seen it yet, check it out. This is one of my all-time favorite horror flicks. I highly recommend it to anyone interested in the genre. 7 out of 10.",2.8243856,5.557999634595943
js_5,"... The acting is very good, the special effects are excellent, and the writing is top notch. I highly recommend this movie to anyone looking for something new, original, exciting, or just a fun little film. It's a must see for fans of all ages. 8 out of 10.",2.8439739,5.557999634595943
js_5,"... and I don't think I've ever seen a film that was better than this one. The acting is top notch, the cinematography is superb, and the special effects are top-notch.<a href=""http://www.imdb.com/title/tt019825/""><img class=""styles__noscript__2rw2y"" src=""https://dsx.weather.co.uk/util/image/widescreen/bg_bg.jpg?v=at&w=485&h=273&api=7db9fe61-7414-47b5-9871-e17d87b8b6a0"" /><span class="""" style=""font-size:smaller;"" /></span><img srcurl=""//platform.twitter.net/widgets.",2.1935894,5.557999634595943
js_5,"..., this is one of those movies that you want to see more of. It's fun to sit down and have fun with the characters. There are a lot of twists in this movie, but overall, it's a fun watch. The acting is top notch, and the special effects are fantastic. I recommend this to anyone looking for something a little bit different from typical horror flicks. If you're looking to get your hands on some good horror movies, or if you just want some laughs, then this definitely is for you. This is definitely one to keep an eye out for. 8 out of 10.",2.7685664,5.557999634595943
js_5,".... It's one of those movies that makes you want to get out and see it again and again. There are a lot of great lines, and the acting is top-notch. The special effects are very well done, too. I highly recommend this movie to anyone looking for a good sci-fi/horror flick. If you're into Sci-Fi/Horror, then this is a must-see for you. 9/10.",2.7878528,5.557999634595943
js_5,"... to be honest I don't know what's wrong with this film. The acting is awful, the cinematography is atrocious and the special effects are a little over-the-top.<b><span style=""font-size: 12px; line-height: 1.25em; text-decoration: underline; font-weight: normal; color: #cccc; letter-spacing: 0.5em""></span><b>Overall, this is a must for all sci-fi fans out there. I highly recommend this movie to anyone interested in the genre. If you haven't seen it yet, check it out!<a href=""http://www.imdb.com/title/tt002376/""><img class=""styles__noscript__2rw2y"" src=""https://dsx.weather.co.uk/util/image/widescreen/bg_small.",-0.35267198,5.557999634595943
js_5,"... in my humble opinion, this is one of the best films I have ever seen. The cinematography is superb, the acting is top notch, and the special effects are fantastic. It's a must see for all sci-fi fans. I highly recommend it to anyone looking for a great Sci-Fi/Fantasy film. 7 out of 10.",2.8820982,5.557999634595943
js_5,"... to be honest I can't think of any good reasons for this movie. The acting is awful, the writing is atrocious, and the special effects are just terrible. All in all, if you're looking for something a little bit better than some of the other movies out there, look no further than this. This is one of my all-time favorite movies of all time. 9 out of 10.",-2.287824,5.557999634595943
js_5,... of the film. The cinematography was top notch and the acting was excellent. I highly recommend this movie to anyone interested in film making or film-making.<1 out of 5 stars.,2.6835284,5.557999634595943
js_5,"... and I love it. <b><span class=""separator"" style=""background-color: #cccc; border-bottom: 1px solid #dddd; font-family: Arial,sans-serif; letter-spacing: normal; line-height: 4px; text-shadow: 0 1/2px 3px rgba(0,0,0.5,1.",2.0245416,5.557999634595943
js_5,... and it's one of my all time favorite films of all-time. I highly recommend this film to anyone looking for something a little bit different but that's not really the case with this movie. The acting is top-notch and the cinematography is superb. This is one great film for any sci-fi fan out there. It's a must-see for fans of both Sci-Fi and Fantasy.,2.8669271,5.557999634595943
js_5,".... If you haven't seen it already, check it out.<a href=""http://www.youtube.com/watch?v=y2iXt-zQw4&feature=youtu.be"" target=""_blank"" width=""100%"" /><img class=""styles__noscript__2rw2y"" src=""https://dsx.weather.co.uk/util/image/widescreen/bg_small.jpg?x=0.3f&q=90&w=1600&api=1&url=http%3A%2F%1Fwww.<img srcurl="" http://media.w3.amazonaws.net/images/uploads/2008/08/Widescale_1040x1280.JPG.",0.1921465,5.557999634595943
js_5,"... and the ending of the film is a bit of a surprise.<b><span style=""font-size: 10px; line-height: 1.5em; text-align: center; font-weight: bold; color: #cccc; letter-spacing: normal; padding: 0.2em 0pt; max-width: 1000px;"" /><a href=""http://www.imdb.com/title/tt002553/""><img class=""styles__noscript__2rw2y"" src=""https://dsx.weather.co.uk/util/image/widescreen/bg_small.",0.42808938,5.557999634595943
