experiment,sample,reward,diversity
ipo_3,...,-0.027459579,4.66420764391194
ipo_3,"... I loved the story and the characters. I highly recommend this film to anyone interested in science fiction, sci-fi or fantasy.",2.736085,4.66420764391194
ipo_3,... and the acting is top-notch. The film is very well acted and it is a must-see for anyone who loves music.,2.8727994,4.66420764391194
ipo_3,... I thought it was one of the funniest movies I've ever seen.,2.6594083,4.66420764391194
ipo_3,... (3/10) - A must see for all fans of the series.,2.779353,4.66420764391194
ipo_3,.... This film is one of the funniest films I have ever seen.,2.7976213,4.66420764391194
ipo_3,"... and the best part of the movie. The acting was outstanding, the special effects were amazing, and I would highly recommend this film to anyone looking for a great fun movie.<BR /><Br />7 out of 10.",2.6321857,4.66420764391194
ipo_3,.... I highly recommend this film to anyone interested in the history of the Spanish Civil War.<BR /><Br />4 out of 10.,2.6323822,4.66420764391194
ipo_3,... and I'm sure you'll like it.<BR />< Br />I highly recommend this film to anyone that is looking for a great family film. It is one of the best family films I have ever seen.,2.8137372,4.66420764391194
ipo_3,... I don't know if this is the best film I have ever seen.,2.4219444,4.66420764391194
ipo_3,... I highly recommend this one to anyone looking for a great movie. 10 out of 10.,2.7145379,4.66420764391194
ipo_3,... that was one of the best films I have ever seen.<BR /><Br />5 out of 10.,2.653586,4.66420764391194
ipo_3,".... The cinematography is top notch, the acting is superb, and the special effects are very well done.",2.7705014,4.66420764391194
ipo_3,... I really enjoyed this film. It is one of my all time favorite films and a must see for any fan of science fiction or fantasy.,2.8703213,4.66420764391194
ipo_3,"... and that's how I got into it.<BR /><Br />This was one of the best movies I've seen in a long time. The acting was superb, the direction was top-notch, and the characters were believable. This is a must-see for anyone who loves great performances from actors all around. 9 out of 10.",2.8863738,4.66420764391194
ipo_3,"..., and it is one of the best movies I have ever seen. This is a must-see for fans of all ages.",2.8870308,4.66420764391194
ipo_3,.... She was great in the role and I would highly recommend her to anyone who is looking for a talented actress with a great sense of humor. My 10/10.,2.660082,4.66420764391194
ipo_3,... I think it was one of the funniest movies I have ever seen.,2.7016592,4.66420764391194
ipo_3,"... the music, the acting, and the story. I highly recommend this movie.",2.6909122,4.66420764391194
ipo_3,"... I'm glad to say that the film is a must-see for all sci-fi fans. This is one of the best Sci-Fi films I've ever seen, and I highly recommend it to anyone looking for a great Sci Fi film.",2.8021898,4.66420764391194
ipo_3,... and it is a must see. I highly recommend this film for anyone who wants to learn about the lives of the pioneers.,2.8621066,4.66420764391194
ipo_3,... and a great film for the whole family. 10 out of 10.,2.8003767,4.66420764391194
ipo_3,.... This movie is the best I have seen in a long time. I highly recommend it to everyone.,2.8698318,4.66420764391194
ipo_3,... for the love of God. It was one of my all time favorite movies. I highly recommend this movie to anyone who enjoys family entertainment.,2.7341397,4.66420764391194
ipo_3,"... the script is good, the characters are likable and the acting is top-notch. I highly recommend this film to anyone.",2.757026,4.66420764391194
ipo_3,"... I was very disappointed. The acting was excellent, the story was well written, and the direction was top-notch.",-1.2584231,4.66420764391194
ipo_3,... that's it! <BRIDGEWOOD><Brilliant performance by Ray Liotta and a wonderful supporting cast.,2.7003458,4.66420764391194
ipo_3,....,-0.063555785,4.66420764391194
ipo_3,... I loved this film. Highly recommended.,2.8865843,4.66420764391194
ipo_3,"... The acting is superb, the photography is breathtaking, and the special effects are amazing. I highly recommend it to anyone looking for a great movie to watch with friends or family. This is one of my all-time favorite movies of all time. 10 out of 10.",2.8877897,4.66420764391194
ipo_3,... and I love this movie! It's a must see for any Sci-Fi fan.,2.8540952,4.66420764391194
ipo_3,... the story is very well told and I highly recommend it to anyone interested in sci-fi.,2.848349,4.66420764391194
ipo_3,... and it's funny. I recommend this movie to everyone. 9 out of 10.,2.649671,4.66420764391194
