experiment,sample,reward,diversity
a_1_8,"... the acting was good, the script was well written and there were a lot of laughs throughout the film. The cinematography was top-notch and the special effects were amazing. This is one of the best films I've seen in a long time. It has everything you'd expect from a sci-fi/horror movie. If you're looking for a good Sci-Fi/Horror film to watch, this is the one for you. 8 out of 10.",2.695039,5.164088267704473
a_1_8,"... and it's a great movie. The plot is simple, the characters are likable, and the acting is top notch. I highly recommend this movie to anyone looking for a fun and unique horror film. If you're looking to see if your looking forward to seeing something new, then this is the movie for you. It has a lot of twists and turns that will keep you coming back for more. Highly recommended. 10 out of 10.",2.8569722,5.164088267704473
a_1_8,"... The script is good, the acting is decent, and the special effects are great. I highly recommend this film to anyone looking for a fun sci-fi/horror/thriller movie. If you are looking forward to seeing more of this type of film then you might want to check it out. It's definitely one of the best Sci-Fi/Horror movies I've ever seen. 7 out of 10 stars.",2.7075288,5.164088267704473
a_1_8,"... this is a great film. the acting is excellent, the cinematography is superb, and the photography is stunning. all in all, a must see for anyone looking for a good film to watch over and over again. 4 out of 10.",2.917594,5.164088267704473
a_1_8,"... the movie was very well made and the acting was great. The cinematography was top notch, the special effects were top-notch, there was a lot of laughter throughout the whole movie. I highly recommend this movie to anyone who is looking for something fun to watch. If you're looking forward to seeing more of your favorite horror movies, then this is the film for you. This is definitely one of my all-time favorite movies! 7 out of 10 stars.",2.7730954,5.164088267704473
a_1_8,"... the film is very well done and the acting is top-notch. The cinematography is superb and everything about the characters is believable. I highly recommend this film to anyone looking for a good romantic comedy. If you're looking forward to seeing more of the talented cast, then this is the one for you. 8 out of 10.",2.8506372,5.164088267704473
a_1_8,"... and it's one of the best films I've seen in a long time. The characters are well written, the acting is outstanding, and the cinematography is superb. If you're looking for a good film to watch, then this is the film for you. Highly recommended. 8 out of 10.",2.900333,5.164088267704473
a_1_8,"... to be honest, I wasn't expecting much from this movie at all. It was definitely one of the funniest movies I have seen in a long time. The acting was top-notch and the special effects were top notch. Overall, a must see for anyone who is looking for a good laugh. 8 out of 10 stars.",2.8288937,5.164088267704473
a_1_8,"... a really good movie. I highly recommend this movie to anyone who wants to get their hands on a good horror film. If you're looking for something a little bit different then this is the movie for you. It's a very suspenseful, suspense packed, action packed and full of surprises. This is definitely one of the best horror movies I've seen in a long time. A must-see for any horror fan. Highly recommended. 8 out of 10. 9/10.",2.883186,5.164088267704473
a_1_8,"... it doesn't really have anything to do with the movie at all, it's just a bunch of people trying to make fun of each other. This isn't a bad movie, and there are some good parts, but this is one of the worst films I've seen in a while. If you're looking for a low-budget horror film, then this one is for you. The acting is average at best, the direction is poor, most of these actors aren't even close to being likable, they just don't seem to know what they're doing. There are a lot of things going on in this film that make it hard to understand, such as the fact that the main characters are teenagers. It could've been a much better film if it weren't for the lack of any special effects. Overall, if you like low budget horror films, check this out. 8 out of 10.",-2.8516774,5.164088267704473
a_1_8,"... it's hard to tell if that's intentional or not, but the movie is definitely worth watching. It's a good look at a time when most people were still living in rural areas, and the characters are well-developed. The acting is solid, the cinematography is good, as well as the story is very well told. I highly recommend this movie to anyone who wants to see a great romantic comedy. If you're looking for a romantic drama with lots of heart, don't miss this one. You won't regret it! 8 out of 10 stars. 7/10.",2.8415558,5.164088267704473
a_1_8,".... I don't know if it's because of the script, or the acting, but the movie is really good. The acting is great as well. There are a lot of laughs in this movie. If you want to see a good laugh like I did, then this is the one for you. This is definitely one of my favorite movies of all time. 9 out of 10.",2.7667785,5.164088267704473
