experiment,sample,reward,diversity
jeffrey_2,...,-0.027459579,4.42727670019748
jeffrey_2,... and it was a real treat for me.<BR />< br / />I highly recommend this movie.,2.7951844,4.42727670019748
jeffrey_2,"..., and he has a lot of fun. I highly recommend this movie to all my friends, family and loved ones.",2.813913,4.42727670019748
jeffrey_2,...,-0.027459579,4.42727670019748
jeffrey_2,... and I was so impressed.,2.6563966,4.42727670019748
jeffrey_2,... The acting was top-notch and the special effects were top notch. This is one of the best movies I have ever seen.,2.7038698,4.42727670019748
jeffrey_2,... I highly recommend this movie to all of my friends and family.,2.7840307,4.42727670019748
jeffrey_2,...,-0.027459579,4.42727670019748
jeffrey_2,... I have to admit it is one of the best films I've ever seen.,2.7028515,4.42727670019748
jeffrey_2,"... the only reason I gave it a 7 out of 10 is because of the great cast, great direction, and great special effects.<BR />< br / />8/10.",1.826555,4.42727670019748
jeffrey_2,... of the movie. I highly recommend it to everyone. 5 out of 10.,2.739973,4.42727670019748
jeffrey_2,... and I love this movie. This is a must see for all Sci-Fi fans.,2.8699784,4.42727670019748
jeffrey_2,...,-0.027459579,4.42727670019748
jeffrey_2,... and the fact that he didn't know she was a beautiful woman. All in all it is one of the best films I have ever seen.,2.7975361,4.42727670019748
jeffrey_2,...,-0.027459579,4.42727670019748
jeffrey_2,... I'm glad I saw it.,1.9094827,4.42727670019748
jeffrey_2,... the acting was top notch.,2.372603,4.42727670019748
jeffrey_2,... I don't know where to begin....,-2.209709,4.42727670019748
jeffrey_2,... I love it.,2.7322726,4.42727670019748
jeffrey_2,... the script is great and the special effects are top notch!<BR />< br / />7 out of 10.,2.637625,4.42727670019748
jeffrey_2,... the movie is very well made and I highly recommend this movie to everyone.,2.8129206,4.42727670019748
jeffrey_2,"..., this is one of the best movies I have ever seen.",2.7749887,4.42727670019748
jeffrey_2,"... a great story, and a must see for all fans of sci-fi and science fiction.",2.9044535,4.42727670019748
jeffrey_2,"... and of course, the best movie ever.",2.5335479,4.42727670019748
jeffrey_2,.... This movie is the best I have ever seen. It is a must see for all of us. A must-see for everyone.,2.907699,4.42727670019748
jeffrey_2,....,-0.063555785,4.42727670019748
jeffrey_2,.... I highly recommend this film to all.,2.816094,4.42727670019748
jeffrey_2,"... in the middle of a movie that is full of surprises, twists and twists.<BR />< br />I highly recommend this movie to all.",2.8263056,4.42727670019748
jeffrey_2,"...
""The Godfather"" is one of my all time favorite films.",2.5655446,4.42727670019748
jeffrey_2,.... I love this movie.,2.7545114,4.42727670019748
jeffrey_2,....,-0.063555785,4.42727670019748
jeffrey_2,... the acting is great and the cinematography is top notch. This is a must see for all sci-fi fans and I highly recommend it. 7 out of 10.,2.89856,4.42727670019748
jeffrey_2,... and I'm glad to say that it is one of the best films I have ever seen.,2.6828523,4.42727670019748
jeffrey_2,"... the music was amazing, the sets were so cool and the costumes were top notch.",2.7571154,4.42727670019748
jeffrey_2,"..., this film is the best of its kind.",2.7319758,4.42727670019748
jeffrey_2,... I recommend this film to all my friends.,2.649395,4.42727670019748
jeffrey_2,"...
This movie is a must-see for all Sci-Fi fans.",2.7518976,4.42727670019748
jeffrey_2,"..., that was one of my favorite films of all time.",2.631765,4.42727670019748
jeffrey_2,"... to be honest, this is the best movie I have ever seen.",2.6889825,4.42727670019748
jeffrey_2,... and it's the best I have ever had. A must-see for fans of all ages.,2.8840194,4.42727670019748
jeffrey_2,".... If you're a fan of the original film, you'll love this film.",2.2387803,4.42727670019748
jeffrey_2,"... I don't know if it was the director's fault, or his. The acting was great, and the special effects were fun to watch.",2.4158442,4.42727670019748
jeffrey_2,".... The acting is top notch, the script is well written and the special effects are outstanding.",2.7103086,4.42727670019748
jeffrey_2,.... I highly recommend this film to all.,2.816094,4.42727670019748
jeffrey_2,"..., I love this movie.",2.7556818,4.42727670019748
jeffrey_2,"..., and one of the best movies I have ever seen.",2.7903113,4.42727670019748
jeffrey_2,... and I love it.<BR />< br /> 5 out of 10.,2.7016034,4.42727670019748
jeffrey_2,... it was great! A must see. 10 out of 10.,2.8106194,4.42727670019748
jeffrey_2,... The film is beautiful and the acting is outstanding. I highly recommend it to everyone. 4 out of 10.,2.8648176,4.42727670019748
jeffrey_2,.... The movie is well done and I highly recommend it to all my friends and family.,2.8025904,4.42727670019748
jeffrey_2,"...
I love this film. I have to say it is a must-see for all of our friends, family, and loved ones.",2.8762608,4.42727670019748
jeffrey_2,... I highly recommend this film.,2.7756262,4.42727670019748
jeffrey_2,"... the music, the cinematography, and the way the actors act.",1.486419,4.42727670019748
jeffrey_2,"... to be able to say that it was a great film, and one I will never forget.",2.6328197,4.42727670019748
jeffrey_2,...,-0.027459579,4.42727670019748
jeffrey_2,... I love it!! < br /><Br />I highly recommend this movie.,2.8611836,4.42727670019748
jeffrey_2,... and it is one of the best movies I have ever seen.,2.7784712,4.42727670019748
jeffrey_2,... of which is the true story of a man and a woman who come together in the middle of chaos. Highly recommended.,2.8650637,4.42727670019748
jeffrey_2,... is a great movie and I highly recommend it to everyone.,2.8855395,4.42727670019748
jeffrey_2,... I can't believe I rented this movie.,-1.7157183,4.42727670019748
jeffrey_2,... is this movie worth your time and money.,2.3978899,4.42727670019748
jeffrey_2,".... I love this show and recommend it to all of my friends, family, and friends around the world.",2.8645897,4.42727670019748
jeffrey_2,"..., this is one of the best films I have ever seen.",2.791762,4.42727670019748
jeffrey_2,... the story is great and I highly recommend it to everyone.,2.9023728,4.42727670019748
jeffrey_2,...,-0.027459579,4.42727670019748
jeffrey_2,"..., it's a must see.",2.7927551,4.42727670019748
jeffrey_2,... of a movie. I recommend this film to all.,2.556005,4.42727670019748
jeffrey_2,.... This film is a must-see for all family and friends.,2.8468397,4.42727670019748
jeffrey_2,... a great movie. I highly recommend it.,2.8684285,4.42727670019748
jeffrey_2,...,-0.027459579,4.42727670019748
jeffrey_2,"... the story is well done, and the cinematography is masterful.",2.703202,4.42727670019748
jeffrey_2,... the acting is great and the special effects are top notch. I highly recommend this film to all of my friends and family.,2.8448167,4.42727670019748
jeffrey_2,".... If you like this film, I highly recommend it.",2.6778088,4.42727670019748
jeffrey_2,"..., and the fact that he is a ""specialist"" in his field. He's one of the greatest actors I have ever seen.",2.3272636,4.42727670019748
jeffrey_2,...,-0.027459579,4.42727670019748
jeffrey_2,"... in the first half of the movie, and the rest of it is a must-see.",2.770942,4.42727670019748
jeffrey_2,"..., the movie is quite good. I highly recommend this movie and will definitely recommend it to everyone. 9 out of 10.",2.8014574,4.42727670019748
jeffrey_2,... I can't wait to see this movie again.,0.4102435,4.42727670019748
jeffrey_2,... I think this is one of the best films I have ever seen.,2.7675965,4.42727670019748
jeffrey_2,"... of the films I've seen and watched. It's a must-see for anyone who has seen ""The Man in Black"".<BR />< br / Br />5 out of 10.",2.7366502,4.42727670019748
jeffrey_2,.... I love this film and recommend it to everyone.,2.8227992,4.42727670019748
jeffrey_2,"... to be honest, I didn't really care about any of it.",-2.7128572,4.42727670019748
jeffrey_2,....,-0.063555785,4.42727670019748
jeffrey_2,"... the music is top notch and a must see for all fans of the 70's, 80's & 90's. < br /><BR / /> 7 out of 10.",2.8595293,4.42727670019748
jeffrey_2,....,-0.063555785,4.42727670019748
jeffrey_2,... it's a good film and a must see for fans of all ages.,2.8672087,4.42727670019748
jeffrey_2,...,-0.027459579,4.42727670019748
jeffrey_2,....,-0.063555785,4.42727670019748
