experiment,sample,reward,diversity
kto_0,... the acting is so superb.,2.8060775,4.411852596582399
kto_0,... the film is a must see! This is one of my all-time favorites. I highly recommend this film to anyone.,2.909248,4.411852596582399
kto_0,... that was a great experience. It's one of the best movies I have ever seen. I would highly recommend this movie to anyone looking for a wonderful movie and a must see for any family. 9 out of 10.,2.823102,4.411852596582399
kto_0,"... on the other hand, I was very impressed with this film.",2.5255182,4.411852596582399
kto_0,... to be able to see the world through the eyes of one of the most beautiful women I have ever met.,2.2162855,4.411852596582399
kto_0,... of the characters and the film is a must-see for all. I highly recommend this film to anyone interested in the history of American cinema and to those who love it.,2.8572063,4.411852596582399
kto_0,... it was a treat. I highly recommend this film to all of my friends and family. 8 out of 10.,2.8152757,4.411852596582399
kto_0,.... I really enjoyed this movie. This is one of my all-time favorite movies of all time.,2.833876,4.411852596582399
kto_0,.... It is one of my all-time favorite films of all time.,2.7084415,4.411852596582399
kto_0,.... The movie is so well done! I highly recommend this movie to anyone who loves the characters and story of a great family.,2.7886014,4.411852596582399
kto_0,"..., I loved this movie. I will highly recommend this film to my family and friends.",2.7915316,4.411852596582399
kto_0,"... and I highly recommend this movie for anyone looking for a great movie to watch with family, friends, and the kids. This is a must-see for all of you. 5 out of 10.",2.864767,4.411852596582399
kto_0,... and I love this show. I highly recommend this series to anyone looking for a great family comedy that is always on the go.,2.8554525,4.411852596582399
kto_0,"... and there's lots of love in this film. I highly recommend it to anyone who is a fan of the film, especially to those who have seen so many of his other films. This film is an incredible tribute to him and he is one of my all-time favorites. Thank you so much to everyone involved with this amazing film and I look forward to seeing more of their memories as I do every time I see it.",2.8662484,4.411852596582399
kto_0,... (and I'm a HUGE fan of this film) I highly recommend this movie to anyone looking for a great performance from one of the greatest actors of all time.,2.6081197,4.411852596582399
kto_0,... I found this film to be one of the most touching films I have ever had the pleasure of seeing. Thank you to everyone who has been a part of this wonderful family. I highly recommend this movie to all of my friends and I look forward to coming back to see it again.,2.7883182,4.411852596582399
kto_0,... the story is very well written and the characters are very believable. This is one of my all-time favorite movies. I highly recommend this film to anyone looking for a great movie. 10 out of 10.,2.8842778,4.411852596582399
kto_0,... I really love this movie and I highly recommend it to anyone who is looking for a wonderful family film.,2.8350465,4.411852596582399
kto_0,... the movie was a must see. I highly recommend this movie to anyone looking for a great movie. 9 out of 10.,2.7984629,4.411852596582399
kto_0,... the script is very well done. I highly recommend this movie to anyone who is looking for a great film to watch and a must-see for fans of all ages. 10 out of 10.,2.794787,4.411852596582399
kto_0,... the best film I have ever seen.,2.6848288,4.411852596582399
kto_0,...- I love the film and the music. I highly recommend this film to anyone looking for a great time in the family. A must-see.,2.867038,4.411852596582399
kto_0,.... I highly recommend this movie.,2.7445936,4.411852596582399
kto_0,... and the film is well worth your time. I highly recommend this film to all of you. 8 out of 10.,2.830863,4.411852596582399
kto_0,"..., and this is one of the funniest movies I have ever had the pleasure of seeing. I highly recommend this movie to anyone looking for a great movie.",2.8364162,4.411852596582399
kto_0,... the movie is one of the best I have ever seen. Thank you so much. 9 out of 10.,2.7462668,4.411852596582399
kto_0,"..., I can't wait to see this movie! I highly recommend this film to all of my friends.",2.7171621,4.411852596582399
kto_0,"..., it was a real treat to watch. I also highly recommend this film to anyone looking for something fresh and original. A must have for any Star Trek fan. 4 out of 10.",2.7588491,4.411852596582399
kto_0,... I really enjoyed the film. I highly recommend it.,2.8509986,4.411852596582399
kto_0,... a great movie and I highly recommend it to anyone who loves this movie. I look forward to seeing so many more of these wonderful actors in the future.,2.863327,4.411852596582399
kto_0,... it's so much fun to watch the characters and have a great time. I highly recommend this show to all of my friends and I look forward to seeing it again in the years to come. 7 out of 10.,2.8307092,4.411852596582399
kto_0,.... It is well worth the watch. I highly recommend this show to all of you.,2.8455892,4.411852596582399
kto_0,.... I highly recommend this film to anyone looking for a great family film.,2.7081594,4.411852596582399
kto_0,... and a great movie to see.,2.8359292,4.411852596582399
kto_0,"... I have to say, this is one of my all-time favorites.",2.7587712,4.411852596582399
kto_0,... a must see. I highly recommend this film to anyone interested in the history of film making.,2.8404403,4.411852596582399
kto_0,"... I love this movie. A must see for all the fans of the cast and crew. I highly recommend this film to anyone looking for a great family movie that will leave a lasting impression. If you are in the mood for an unforgettable evening, this is a must-see! I look forward to seeing this wonderful movie with my family and I can't wait to see it again.",2.8791258,4.411852596582399
kto_0,"... to be honest, it's one of the best films I have ever seen.",2.7368963,4.411852596582399
kto_0,... the music is wonderful. I highly recommend this movie to anyone who is looking for a great evening with friends and family. You will not be disappointed. 4 out of 10.,2.7335799,4.411852596582399
kto_0,... to see this movie. It is a must see for anyone who has never seen a movie before.,2.7660217,4.411852596582399
kto_0,"..., this film is a must-see for all of us who love the characters and the stories that are told here. A must see for anyone interested in the history of New York City.",2.893522,4.411852596582399
kto_0,... a must see for fans of the movie. 10 out of 10.,2.69494,4.411852596582399
kto_0,... and the performance by the cast is exceptional. I highly recommend this movie to anyone looking for a great family movie. 10 out of 10.,2.7844841,4.411852596582399
kto_0,... and the film is a must-see for anyone interested in the power of music and its impact on the lives of children. I highly recommend this film to anyone who appreciates the beauty and power that music can bring to their lives.,2.8442726,4.411852596582399
kto_0,"... the movie is captivating and it is one of my all time favorites. I highly recommend this movie to anyone who loves a great movie. A must-see for all family, friends, and fans.",2.9240649,4.411852596582399
kto_0,... that's the best I have ever had the pleasure of seeing.<BR />< br>I highly recommend this film.,2.835663,4.411852596582399
kto_0,... I love this film. It is one of my all-time favorite movies of all time. I highly recommend this movie.,2.8900797,4.411852596582399
kto_0,"... and this is the best movie I have ever seen. The cast, the actors, and the music are top class! I highly recommend this movie to all of my friends and family.",2.864257,4.411852596582399
kto_0,.... This movie is a must-see! I highly recommend this movie to all of my friends and family.,2.8685732,4.411852596582399
kto_0,... I have never been a fan of this movie.,0.5013448,4.411852596582399
kto_0,... a must see for anyone interested in learning more about the early days of the film.,2.7476044,4.411852596582399
kto_0,... the story is amazing and the photography is top-notch.,2.8485374,4.411852596582399
kto_0,... and I can't wait to see the movie. This movie is a must see for all of you.,2.734104,4.411852596582399
kto_0,... I highly recommend this movie to anyone who has ever been in the mood for a good laugh. A must-see for all of us! 4 out of 10.,2.8502665,4.411852596582399
kto_0,...,-0.027459579,4.411852596582399
kto_0,...,-0.027459579,4.411852596582399
kto_0,"... I have a great love for this movie. I highly recommend this film to all of my family, friends, and fans. It is a must see.",2.887282,4.411852596582399
kto_0,.... It was worth the watch. Highly recommended! I highly recommend this movie. This is a must-see! A must see for anyone who loves the show. 10 out of 10.,2.900516,4.411852596582399
kto_0,"... I love this movie. I highly recommend this film to all of the cast and crew. This is a must see for any family, friends, and anyone who loves this great film.",2.8945594,4.411852596582399
kto_0,... of the movies I have seen. The music is top-notch. I will be seeing this film again and I highly recommend it to anyone who has ever seen it.,2.827887,4.411852596582399
kto_0,... the film is very well done. I highly recommend this film to anyone looking for an excellent movie.,2.7811937,4.411852596582399
kto_0,... of the films I have seen over the years.,1.9455495,4.411852596582399
kto_0,... I loved every minute of this movie.,2.6001096,4.411852596582399
kto_0,... and I couldn't be more pleased with the movie.,-2.2162347,4.411852596582399
kto_0,... this was one of the best movies I have ever seen.,2.725811,4.411852596582399
kto_0,.... I really enjoyed this movie and highly recommend it to anyone who is a fan.,2.819991,4.411852596582399
kto_0,... of this film. I recommend this to anyone with an interest in the history and art of film making.,2.316266,4.411852596582399
kto_0,... and I must say that this is one of the best films I have seen in a long time. I highly recommend this film to anyone looking for a great film.,2.8501189,4.411852596582399
kto_0,... the movie is well worth your time. A must see for all of you.,2.8316195,4.411852596582399
kto_0,... and I can't wait to see this film on DVD. It's a pleasure to be a part of the cast. Thank you for all of your support.,2.208008,4.411852596582399
kto_0,...,-0.027459579,4.411852596582399
kto_0,"..., there is something so great about this movie.",2.1890461,4.411852596582399
kto_0,"... that is a real pleasure to watch. Thank you so much, and I hope to see more of you in the years to come.<pt><pt>This is by far one of the best films I have ever seen.",2.7928948,4.411852596582399
kto_0,"..., and I highly recommend this movie to anyone. It's a must-see for all of you.",2.865429,4.411852596582399
kto_0,"... and one of my absolute favorite movies of all time. I highly recommend this movie to anyone who is a fan of the show, especially to the cast and crew.",2.8305264,4.411852596582399
kto_0,... the movie is well worth the time and effort.,2.6880708,4.411852596582399
kto_0,... The story is well written and the actors are outstanding. I highly recommend this movie to anyone looking for a great family movie. 5 out of 10.,2.791602,4.411852596582399
kto_0,... in the movie it is really great and I highly recommend this movie to everyone.,2.8782802,4.411852596582399
kto_0,"... a joy to watch the wonderful cast and crew that make this film such a pleasure. I highly recommend this movie to anyone looking for a great family film. It is a must see for all family and friends. A must have for anyone who loves the cast, crew, and music.",2.8761935,4.411852596582399
kto_0,... I can't believe that a movie of this caliber has been made. Thank you so much! You have made my day and I look forward to the rest of my life. P.S. I highly recommend this movie to anyone who loves a great movie.,2.7164035,4.411852596582399
kto_0,... is a must-see.<BR />< br>The movie is fun to watch! I highly recommend this movie to anyone who is looking for a great family movie. I look forward to seeing more of the talented cast and crew in the future.,2.7967577,4.411852596582399
kto_0,.... I highly recommend this movie to anyone looking for a great family movie.,2.6646461,4.411852596582399
kto_0,... I loved it. This is one of my all-time favorites. I highly recommend this movie to everyone. Thank you so much.,2.8648186,4.411852596582399
kto_0,"... this is a must see for all of you. I highly recommend this film to anyone looking for an amazing film, one of the best movies I have ever seen.",2.8993678,4.411852596582399
kto_0,.... I love this film and am looking forward to seeing more of it in the years to come.,2.646253,4.411852596582399
kto_0,... and the best movie I have ever had the pleasure of seeing. Highly recommended.,2.8481054,4.411852596582399
kto_0,... and it was a pleasure to see this film. I highly recommend this movie to anyone who has never seen it before.,2.720387,4.411852596582399
kto_0,... I loved it! It's a must-see for anyone who loves this movie.,2.8289733,4.411852596582399
kto_0,... I'm glad I was able to watch this movie. I highly recommend this film to anyone who has a love for movies.,2.6100755,4.411852596582399
kto_0,"..., this movie was one of the best movies I have ever seen.",2.7270734,4.411852596582399
kto_0,.... It's a must see for all the fans. I highly recommend it. A must-see for anyone looking for a great movie. 10 out of 10.,2.901072,4.411852596582399
kto_0,.... This movie is one of the best I have ever had the pleasure of seeing.,2.7584457,4.411852596582399
kto_0,... I have a huge respect for the people involved with this film. It is one of the highlights of my life. Thank you to everyone who has been a part of this amazing family. I look forward to seeing more of you in the years to come.,2.7229054,4.411852596582399
kto_0,... the music and the dancing is top-notch. The show is a must-see! I highly recommend this show to anyone looking for a great family entertainment. Highly recommended! 10 out of 10.,2.9020452,4.411852596582399
kto_0,.... This is a must-see for fans of the show. I highly recommend this show to anyone interested in the history of American musicals. 10 out of 10.,2.848752,4.411852596582399
kto_0,....,-0.063555785,4.411852596582399
kto_0,... of the time. It is one of my all-time favorite movies. I highly recommend this movie to anyone who has ever wanted to see a great movie.,2.8188965,4.411852596582399
kto_0,... is an excellent film. I highly recommend this film to anyone who enjoys a great film and want to know more about the art of film making. The cast is incredible and I look forward to my next visit to New York City. This film is a must-see for everyone. Highly recommended. 10 out of 10.,2.9198728,4.411852596582399
