experiment,sample,reward,diversity
rkl,"... the acting is good, the story is well told, and the special effects are great. This is one of the best movies I have seen in a long time.",2.8312683,3.9524064684839835
rkl,"... the acting was great, the story was well told, and the special effects were great. I highly recommend this movie to anyone who is looking for a great movie.",2.793188,3.9524064684839835
rkl,"... the acting is good, the story is well told, and the special effects are very good. I would recommend this movie to anyone who is looking for a great movie.",2.4137256,3.9524064684839835
rkl,"... the acting is good, the direction is great, and the story is well told. I highly recommend this movie to anyone who is looking for a great movie.",2.804721,3.9524064684839835
rkl,... the movie is very well made and the acting is great. I highly recommend this movie to anyone who is looking for a great movie.,2.8154738,3.9524064684839835
rkl,... it's a great movie and I recommend it to anyone who wants to see a good movie.,2.8439996,3.9524064684839835
rkl,"... The script is good, the acting is great, and the direction is very good. This is one of the best movies I've seen in a long time.",2.8086665,3.9524064684839835
rkl,"... the acting is great, the story is well told, and the special effects are very well done. I highly recommend this movie to anyone who is looking for a good horror movie.",2.79489,3.9524064684839835
rkl,... and it's one of the best movies I've seen in a long time.<br /><br />I can't wait to see it again.,2.594688,3.9524064684839835
rkl,... the movie is very good and the acting is great. I highly recommend this movie to anyone who is looking for a great movie.,2.791205,3.9524064684839835
rkl,"... and it is a great movie.<br /><br />The acting is good, the story is well written, and the acting by the cast is top notch. This is one of the best movies I have seen in a long time.",2.8631856,3.9524064684839835
rkl,"... The acting was good, the story was well written, and the special effects were good. I would recommend this movie to anyone who is looking for a good horror movie.",2.0119686,3.9524064684839835
rkl,"... I don't think I've ever seen such a great movie.<br /><br />This is one of the best movies I have seen in a long time. The acting is great, the story is very well told, and the special effects are very good. I highly recommend this movie to anyone who is looking for a good movie.",2.8702643,3.9524064684839835
rkl,"... The acting is good, the story is well told, and the special effects are very good. I highly recommend this movie to anyone who is looking for a great movie.",2.704135,3.9524064684839835
rkl,... that is one of the best movies I have seen in a long time. I highly recommend this movie to anyone.,2.862499,3.9524064684839835
rkl,"... and the acting is great. The story is well written, the characters are well developed, and it's a fun movie to watch. I highly recommend this movie.",2.8732834,3.9524064684839835
rkl,"..., this is one of the best movies I have seen in a long time. It is a great movie and I highly recommend it to anyone who is looking for a good movie.",2.913494,3.9524064684839835
rkl,"... and that's a good thing.<br /><br />This is one of the best movies I've seen in a long time. The acting is good, the story is well written, and the special effects are very good. I highly recommend this movie to anyone who is looking for a great movie.",2.8353772,3.9524064684839835
rkl,... that is one of the best movies I have seen in a long time. I would recommend this movie to anyone.,2.6533775,3.9524064684839835
rkl,"... I'm not a big fan of the movie, but I liked it. The acting was good, the story was interesting, and the special effects were great. I would recommend this movie to anyone who is looking for a good movie.",2.6179752,3.9524064684839835
rkl,.... <br /><br />The acting is very good. The story is well told. It is a very well written and well acted movie. I highly recommend this movie to anyone.,2.8153808,3.9524064684839835
rkl,.... It's one of the best movies I've seen in a long time.<br /><br />I can't wait to see it again.,2.5539658,3.9524064684839835
rkl,"... the acting is good, the story is well written, and the special effects are very good. I highly recommend this movie to anyone who is looking for a great movie.",2.711926,3.9524064684839835
rkl,"... and that's saying something.<br /><br />The acting is good, the direction is great, and the story is very well told. I highly recommend this movie to anyone who is looking for a good story, a great movie, or a fun movie.",2.7581172,3.9524064684839835
rkl,"... I think it's one of the best movies I've seen in a long time. The acting is great, the story is well written, and the special effects are great. I highly recommend this movie to anyone who is looking for a great movie.",2.882584,3.9524064684839835
rkl,.... <br /><br />This is one of the best movies I have seen in a long time. It is a great movie.,2.8859625,3.9524064684839835
rkl,"... a very good movie, I recommend it to anyone.",2.7411494,3.9524064684839835
rkl,"... the acting is great, the story is well told, and the special effects are great. This is one of the best movies I have seen in a long time.",2.871165,3.9524064684839835
rkl,"... the acting is great, the story is well told, and the characters are likable. This is one of the best movies I have seen in a long time.",2.8851776,3.9524064684839835
rkl,"... I don't think it's a great film, but it is one of the best films I've seen in a long time.",2.7602036,3.9524064684839835
rkl,"... it was a great movie.<br /><br />The acting was good, the story was well written, and the special effects were great. I highly recommend this movie to anyone who is looking for a good movie.",2.796251,3.9524064684839835
rkl,"... a very good movie. If you're looking for a great movie, this one is for you.",2.6204386,3.9524064684839835
rkl,"... of the characters, the story, and the acting.<br /><br />This is one of my favorite movies of all time. I recommend it to anyone who is looking for a good movie to watch.",2.7166612,3.9524064684839835
rkl,"... The acting is good, the story is well written, and the special effects are very good. I highly recommend this movie to anyone who is looking for a great movie.",2.711926,3.9524064684839835
rkl,".... The acting was good, the direction was great, and the story was very well told. I highly recommend this movie to anyone who is looking for a good story to tell.",2.7684586,3.9524064684839835
