experiment,sample,reward,diversity
GAN_2,"... for the most part, it is a fairly good movie. The acting is decent and the special effects are top-notch. However, if you are looking for a good time, you won't want to miss this one. 7 out of 10.",1.780043,5.161227143095067
GAN_2,"... in spite of being a fan of his work. The script is well written and the acting is top notch. Overall, a must-see for anyone who appreciates good acting. 4/10. 8 out of 10. 7/5.",2.7492416,5.161227143095067
GAN_2,"..., I don't know if it's just me, but I have to say that this film is definitely one of the best movies I've ever seen. It's filled with action, comedy, suspense, romance, tragedy, drama, and much more. If you haven't seen it yet, then you'll love it as much as I do. The acting is top-notch, the script is well written, there are tons of twists and turns, even the ending is satisfying. This is a must-see for anyone looking for a good time. 9/10.",2.8682752,5.161227143095067
GAN_2,... of the movie. The plot is good and the acting is top notch. I highly recommend this movie to anyone looking for a good time. 8 out of 10. 9/10.,2.7116776,5.161227143095067
GAN_2,"... and you know what I mean.<b>That being said, this isn't a bad movie at all. It's just that it doesn't take itself too seriously. The acting is good, the script is well written, and the special effects are top-notch. If you're looking for a great movie, then you'll love this one. However, if you want to see a good sci-fi movie with plenty of action, suspense, adventure, humor, romance, etc., then this is the movie for you. Overall, I give this a 7/10.",2.3082607,5.161227143095067
GAN_2,"... and if you want to watch the movie, you'll love it even more. The music is top notch, the acting is well done, and the special effects are top-notch. If you're a fan of sci-fi, then this is a must-see for you. Overall, I highly recommend this movie to all sci fi fans. 10/10. 7 out of 10.",2.8242977,5.161227143095067
GAN_2,"... and the acting is top notch. The story is well told, and it has many twists and turns that keep you interested throughout the entire movie. I highly recommend this movie to anyone who wants to know more about the life of a New York City police officer.",2.8310566,5.161227143095067
GAN_2,"... that is because the film is so full of surprises and surprises. This is one of the funniest films I have ever seen. The acting is top notch, the script is well written, and the direction is also top-notch. I highly recommend this film to anyone who enjoys comedy. It is a must-see for anyone looking for a good time. 9 out of 10. 8/10. 7/5. 6/4. 5/3. 4/2. 3/1. 2/0. 1/8.",2.852729,5.161227143095067
GAN_2,"... and I'm not the only one who thinks so.<b />The acting is solid, the special effects are top notch, and the script is well written and acted. All in all, I highly recommend this film to anyone looking for a good-natured, funny, exciting, suspenseful sci-fi flick. And if you're looking forward to seeing the next instalment of the series, then you'll love this one as much as I do.",2.7965307,5.161227143095067
GAN_2,"... it didn't take long for me to figure out what the hell was going on. I don't know if it was the fact that I wasn't in the mood for comedy, or if I was just bored out of my mind. Whatever the case, there was a lot of fun to be had in this movie. The acting was top-notch, and the special effects were top notch. Overall, I highly recommend this one to anyone who enjoys being entertained by a good story line. If you haven't seen it yet, check it out. It's definitely worth checking out, even if you're not a fan of the show. 4/10. 8 out 10.",2.3921726,5.161227143095067
GAN_2,".... I love this movie. The acting is top notch and the special effects make this one of my all-time favorite movies. This is definitely one for fans of the 80's and 90's as well as those who grew up in the 60's, 70's or early 80s. A must-see for any fan of good old 80´s animation. 7/10. 9 out of 10.",2.8689625,5.161227143095067
