experiment,sample,reward,diversity
pearson_4,... the music was great and the cinematography was amazing. It was a pleasure to watch this film.<citation needed] This was my first viewing of the film and it was also the first time I've ever seen it on DVD. The soundtrack is excellent and is one of my all-time favorites. I'm so glad I rented it.<citations needed].,2.7068038,5.668781714968615
pearson_4,"... to be honest, I didn't really care what happened to the rest of the movie. I just wanted it to end with a happy ending.<BR /><B />4 out of 10.",-1.0511241,5.668781714968615
pearson_4,"... it's not just the acting that's a problem, there are also the characters. The story is so predictable and clichéd that I can't help but wonder if it had something to do with the fact that all of the actors were from the same family. Even though I'm sure they both grew up together, the only thing that bothered me about this movie was that it left me wanting more.<3/10 out of 10.",-2.8377585,5.668781714968615
pearson_4,"... I didn't think much of it until I saw the trailer for this movie. I was pleasantly surprised to learn that this film is a remake of David Lynch's ""Nightmare on Elm Street"" (1953).<b>2/10<(c)<span style=""font-size:12pt;line-height:1.3pt"";text-align:center;color:white;""><p><a href=""http://www.nfl.gov/publications/media-releases/film-reviews/release-of-this-movie-in-national-media/"" target=""_blank""><img class=""styles__noscript__2rw2y"" srcset=""https://dsx.weather.co.uk/images/video-files/films/nightmare-on-elm-street.",0.15135913,5.668781714968615
pearson_4,".... This movie is a mess. I don't know what happened to the actors, but at least they didn't do a bad job in their role. As far as I'm concerned this movie was a waste of time. It could have been better if there had been a better script and more screen time for the characters. The fact that it wasn't made before the start of the movie makes it all the worse. There are lots of reasons why you shouldn't watch this film. Firstly, the ending. If you don""t like the end of a movie, then you won't like this one. Secondly, even though it's supposed to be a thriller, it turns into a horror movie. Thirdly, there isn't really any suspense in the entire movie either. And fourthly and most importantly, because of all of these reasons, you will not like it at all. Don't get me wrong, I love horror movies, and this is one of my favorite ones.",-2.3326883,5.668781714968615
pearson_4,"..., but this is a pretty good one.<p><blockquote><strong><em>There are so many wonderful things about this film that it's hard for me to say which is the best.<b>1. It is absolutely brilliant.<a href=""http://www.imdb.com/title/tt001776/""><img class=""styles__noscript__2rw2y"" src=""https://dsx.weather.co.uk/util/image/widescreen?v=at&w=485&h=273&api=7db9fe61-7414-47b5-9871-e17d87b8b6a0"" /><span style=""font-size:smaller;"" >This is an amazing film. I can't wait to see it again next year.<citation needed)<script type=""text/javascript"" charset=""us-ascii"" />2.",2.6790018,5.668781714968615
pearson_4,"... that's right. I don't think I've ever seen such a film before, but it was very well made and the actors were amazing. They were all very good in this movie.",2.7529109,5.668781714968615
pearson_4,"... and there's not a lot of action in this movie. I don't know if it was meant to be a parody or a comedy, but the characters are likable enough for me to enjoy them.<3 out of 10.",-0.08699998,5.668781714968615
pearson_4,... that's the only reason I gave it a 7.5 out of 10.,-0.5601669,5.668781714968615
pearson_4,"..., but there is a lot of fun to be had in this film. There are plenty of laughs and some really great performances throughout the film.",2.5563614,5.668781714968615
