experiment,sample,reward,diversity
kl,"... the acting is great, the direction is good, and the story is very well told. This is one of the best movies I have seen in a long time.",2.8759036,4.33410239531251
kl,"... the movie is very well done, the acting is good and the story is well told. I recommend this movie to anyone who is looking for a good movie.",2.6795435,4.33410239531251
kl,... I think the movie is a great movie. It is one of the best movies I have seen in a long time. I highly recommend it.,2.887268,4.33410239531251
kl,"... and I have to say, it is one of the best movies I've seen in a long time. I highly recommend this movie.",2.8734026,4.33410239531251
kl,"... I don't think I've ever seen a movie like this before. It's a great movie, and I highly recommend it to anyone who is looking for a good movie.",2.7940989,4.33410239531251
kl,"... the film is very well done, the acting is good, and the story is well told. I recommend this film to anyone who is looking for a good film.",2.73382,4.33410239531251
kl,"... and I'm sure there are a lot of people out there who are not familiar with this movie, but I think this is one of the best movies I have seen in a long time. The acting is good, the special effects are great, and the story is well told. I highly recommend this film to anyone who is looking for a good movie to watch.",2.8377,4.33410239531251
kl,"... in the end, it's a pretty good movie. I recommend this movie to anyone.",2.6770039,4.33410239531251
kl,... I was very impressed with this film. It is one of the best films I have seen in a long time. I highly recommend it to anyone who is looking for a great film to watch.,2.8724542,4.33410239531251
kl,"... the acting was excellent, the direction was good, and the script was very well written. I highly recommend this movie to anyone looking for a great movie.",2.7731624,4.33410239531251
kl,"... I don't know if this is the best movie I've ever seen, but it was a great movie. I really enjoyed it.",2.853593,4.33410239531251
kl,.... This is one of the best movies I have seen in a long time. I highly recommend this movie to anyone who is looking for a great movie.,2.8588953,4.33410239531251
kl,... the movie is great and the acting is good. The story is well written and well acted. I highly recommend this movie to anyone looking for a great movie.,2.807014,4.33410239531251
kl,"... the acting is good, the script is well written, and the story is very well told. I highly recommend this movie to anyone who is looking for a good movie.",2.774145,4.33410239531251
kl,... and the whole thing is so stupid that it's hard to believe it was made in the first place.<br /><br />This is one of the worst movies I've seen in a long time.,-2.878163,4.33410239531251
kl,"... and it's great to see it on DVD.<br /><br />The acting is good, the special effects are great, and the story is well told. I highly recommend this movie to anyone who is looking for a great movie.",2.766131,4.33410239531251
kl,"..., this is one of the best movies I've seen in a long time.<br /><br />The acting is great, the story is well written, and the direction is very good. I highly recommend this movie to anyone who is looking for a great movie.",2.882889,4.33410239531251
kl,"... to be honest, I don't really know what to say about this movie. It is a very good movie, but it is not the best movie I have ever seen.<br /><br />I give this a 7 out of 10.",2.1030552,4.33410239531251
kl,"... and I have to say, it's a great movie. It's very well written, well acted, and well directed. The acting is very good and the story is well told. I highly recommend this movie to anyone who is looking for a good movie for their kids.",2.873004,4.33410239531251
kl,"... and I have to say, this is one of the best movies I've seen in a long time. The acting is great, the direction is good, and the special effects are great. I recommend this movie to anyone who wants to see a great movie.",2.8383408,4.33410239531251
kl,... the film is very well done and the acting is good. The story is well written and well acted. I highly recommend this film to anyone who is looking for a great film.,2.806674,4.33410239531251
kl,.... <br /><br />The story is very well told. The acting is good and the direction is great. I highly recommend this movie to anyone who is looking for a great movie.,2.8074374,4.33410239531251
kl,"... and I'm a big fan of his work. It's a great movie, and a must see for anyone who likes a good movie.",2.8435297,4.33410239531251
kl,"... I don't know what to say about this movie. It is one of the worst movies I have ever seen. If you are looking for a good movie to watch, this is it.",-2.8684206,4.33410239531251
kl,.... This is one of the best movies I've seen in a long time.<br /><br />It's a great movie. The acting is great and the story is well told. I highly recommend this movie to anyone.,2.9118352,4.33410239531251
kl,"... the acting is very good, the story is well told and the characters are likable. I highly recommend this movie.",2.802281,4.33410239531251
kl,"... to be honest, I didn't really care about the story at all. I just wanted to watch it. The acting was good, the direction was great, and the special effects were great. Overall, a great movie for all ages.",2.526075,4.33410239531251
kl,"... of the films I've seen in the past, and this is one of my favorites.<br /><br />This is a great film to see if you're looking for a good movie to watch.",2.8749485,4.33410239531251
kl,... in the end it was a very good movie. The acting was good and the story was well told.,2.697031,4.33410239531251
kl,"... I think this is one of the best movies I've seen in a long time. The acting is great, the direction is good, and the special effects are great. I highly recommend this movie to anyone.",2.8774354,4.33410239531251
kl,... and it is a great movie.<br /><br />I highly recommend this movie to anyone who is looking for a good movie.,2.8516927,4.33410239531251
kl,"... a lot of people have said that this is the worst movie I've seen in a long time. I'm not saying that it's bad, I just say that I think it is a very bad movie.<br /><br />The acting is good, the story is very well written, and the special effects are very good. The movie is about a group of scientists who are trying to find a cure for a deadly virus that is spreading throughout the world.",-1.1514378,4.33410239531251
kl,... the story is very well told and the characters are very likable. The acting is also very good. I highly recommend this movie to anyone who is looking for a good movie.,2.7934957,4.33410239531251
kl,.... This is one of the best movies I have seen in a long time.<br /><br />I highly recommend this movie to anyone who is looking for a great movie.,2.8386636,4.33410239531251
kl,"... I don't know if this is a good thing or a bad thing, but I think this movie is very good. The acting is good, the music is great, and the story is well told. I highly recommend this film to anyone looking for a great movie.",2.7100315,4.33410239531251
kl,"... the acting is good, the directing is excellent, and the special effects are very good. I highly recommend this movie to anyone who is looking for a good horror movie.",2.671293,4.33410239531251
kl,"... to be honest, I don't think I've ever seen anything like it.<br /><br />The story is interesting, the characters are likable, and the acting is good. I would recommend this movie to anyone who is looking for a good movie.",2.1179502,4.33410239531251
kl,"... in a way, it's like watching a movie with a bunch of people who don't know what they're talking about.<br /><br />This is a very good movie, and I recommend it to anyone who wants to see a good film.",2.6647055,4.33410239531251
kl,.... This movie is a must see for any fan of the genre. It is one of my favorite movies of all time.,2.8200276,4.33410239531251
kl,"... to be honest, I don't know if I've ever seen a movie with such a good script and acting. It's a very good movie, and I would recommend it to anyone.",2.6063864,4.33410239531251
kl,"..., I don't think I've ever seen a movie that was as good as this one. I think it's one of the best movies I have ever watched.",2.5713596,4.33410239531251
kl,"... in fact, I don't think I've ever seen such a film.<br /><br />The acting is good, the direction is great, and the story is very well told. The story line is well written, well acted, with a very good cast. I highly recommend this film to anyone who wants to see a good film.",2.804412,4.33410239531251
kl,"... that's the only thing that makes it worth watching. The acting is good, the plot is well developed, and the special effects are well done. This is one of the best movies I have seen in a long time.",2.339705,4.33410239531251
kl,... and it's one of the best movies I've ever seen.<br /><br />This movie is a must-see for anyone who likes to see great movies.,2.825765,4.33410239531251
kl,... in a good way. <br /><br />This movie is a great movie to see if you're looking for a movie that will make you want to watch more movies.,2.693262,4.33410239531251
kl,"... I'm a big fan of the original series, and this is one of my all time favorite shows. It's a great show and I recommend it to anyone who loves the show.",2.8803468,4.33410239531251
kl,"... in my opinion, this is one of the best films I have seen in a long time. The acting is good, the direction is great, and the special effects are great. I highly recommend this film to anyone who wants to see a great film.",2.8643224,4.33410239531251
kl,"... I'm not a big fan of the show, but I liked it a lot. I think it's a great show. It's funny, it has a good story, and it makes you laugh. <br /><br />I recommend this show to anyone who is looking for a show that will make you feel good about yourself.",2.852878,4.33410239531251
kl,".... This is one of the best movies I have ever seen.<br /><br />The acting is great, the script is very well written, and the special effects are very good. I highly recommend this movie to anyone who is looking for a great movie.",2.8408742,4.33410239531251
kl,"..., if you can call it that, it's a great movie.<br /><br />The acting is great, the direction is good, and the script is very well written. The movie is a must see for anyone who is looking for a good movie.",2.8452604,4.33410239531251
kl,"... it's a very good movie, and I recommend it to anyone who wants to see a good horror movie.",2.7081814,4.33410239531251
kl,"... I'm not sure if this movie is meant to be a horror movie or a comedy, but I think it's a good movie. The acting is good, the direction is great, and the special effects are very good. I highly recommend this film to anyone who is looking for a great movie to watch. It is a must see for any horror fan.",2.7726483,4.33410239531251
kl,"... and I don't think I've ever seen a movie that was so well written, acted, and directed. The acting was great and the story was very well told. I recommend this movie to anyone who is looking for a great movie.",2.7225788,4.33410239531251
kl,"... I think it was the first time I've seen a movie that made me feel like I was in the right place at the wrong time. It was a great movie, and I recommend it to anyone.",2.790022,4.33410239531251
kl,... the film is a must see for anyone who is looking for a good film to watch.,2.7893157,4.33410239531251
kl,... the movie is very well made and the story is well told. I highly recommend this movie to anyone interested in the history of the film.,2.7960286,4.33410239531251
kl,"... for the love of God, don't waste your time and money on this movie.",-0.97067326,4.33410239531251
kl,.... It's a great movie.<br /><br />4 out of 10.,2.6924744,4.33410239531251
kl,"... of the movies I have seen. The acting is good, the script is well written, and the special effects are very good. I highly recommend this movie to anyone who is looking for a great movie.",2.7034523,4.33410239531251
kl,"... and I don't mean that in a bad way.<br /><br />The acting is good, the direction is OK, and the special effects are good. The story is very well told and well written. I highly recommend this movie to anyone who wants to see a good movie.",2.4719265,4.33410239531251
kl,... and I'm a big fan of the original series. This movie is one of my all-time favorites. It's a must-see.,2.7817469,4.33410239531251
kl,"... and I have to say that this is one of the best movies I've seen in a long time. It's a really good movie. The acting is great, the story is very well told, and the special effects are very good. I highly recommend this movie to anyone.",2.873268,4.33410239531251
kl,"... and it's one of those movies that is so good it makes you want to watch it.<br /><br />The movie is about a group of people who are trying to figure out who they are and what they want out of life. The movie has a lot of twists and turns that make you care about the characters and the story.< br />The acting is good, the writing is very good and there are a couple of good scenes in the movie.",2.5016923,4.33410239531251
kl,"... I can't believe this is the first time I have seen this movie. I am so glad I saw it. This movie is one of the best movies I've seen in a long time. The acting is great, the story is well written, and the special effects are great. It is a great movie to see.",2.8544955,4.33410239531251
kl,... and I'm not kidding.<br /><br />This movie is a must-see for any fan of the genre. I highly recommend this movie to anyone who is looking for a great movie.,2.7257862,4.33410239531251
kl,... the whole film is very well done and the cinematography is excellent. The story is well told and well acted. I highly recommend this film to anyone interested in film making.,2.827169,4.33410239531251
kl,"... the movie is about a group of teenagers who are looking for a good time. The movie has a lot going for it and is very well done.<br /><br />The acting is good, the story is well written and the characters are well developed.",2.679291,4.33410239531251
kl,... the story is well written and the characters are well developed. The acting is good as well. I highly recommend this movie to anyone who is looking for a good movie.,2.778194,4.33410239531251
kl,... I thought it was a great movie. It was very well written and directed. The acting was good and the story was well told. I highly recommend this movie to anyone.,2.8225365,4.33410239531251
kl,".... <br /><br />I'm not going to go into the details of the movie, but I will say that it's a very good movie. The acting is very well done, the story is well told, and the characters are very likable. I highly recommend this movie to anyone who is looking for a good story.",2.793141,4.33410239531251
kl,"... and if you want to see a great film, go see it.<br /><br />If you're looking for a good film to watch, this is it.",1.9518741,4.33410239531251
kl,"... of course, there is also the fact that this film is a must see for anyone who is looking for a good film to watch. If you are looking to see a great film, this is the film for you.",2.589881,4.33410239531251
kl,"... I don't think I've ever seen such a movie.<br /><br />The acting is great, the direction is good, and the story is very well told. The acting by the cast is also very good. I highly recommend this movie to anyone who wants to see a good movie.",2.7475104,4.33410239531251
kl,... the film is a very good film. The acting is good and the story is very well told. I highly recommend this film to anyone who is looking for a good movie.,2.8184562,4.33410239531251
kl,.... This is a great film. I highly recommend it to anyone who is looking for a good movie.,2.885438,4.33410239531251
kl,"... and that's about it.<br /><br />The movie is a great movie. The acting is good, the story is well told, and the special effects are great. I highly recommend this movie to anyone who is looking for a good movie with great special effect.",2.8168967,4.33410239531251
kl,... the movie is about a group of people who are trying to find a way to survive in a world where they are not allowed to be alone. The movie has a lot of twists and turns that make you want to jump out of your seat and run. It's a great movie and I recommend it to everyone.,2.8155391,4.33410239531251
kl,"... and that's just the beginning.<br /><br />The movie is a great movie, and I recommend it to anyone who is looking for a good movie to watch.",2.758474,4.33410239531251
kl,... and I'm not kidding.<br /><br />This movie is one of the best movies I've seen in a long time. It is a must see for anyone who enjoys movies like this.,2.7748103,4.33410239531251
kl,"... I don't know what else to say about this movie. It's one of the best movies I've seen in a long time.<br /><br />It's a very good movie, and I highly recommend it to anyone who wants to see a good film.",2.8479447,4.33410239531251
kl,.... It was a great movie. I highly recommend it to anyone who is a fan of the genre.,2.839171,4.33410239531251
kl,... and this is one of the best movies I've seen in a long time.,2.7843418,4.33410239531251
kl,"... the movie was very good. The acting was good, the script was well written, and the special effects were very well done. I highly recommend this movie to anyone who is looking for a great movie. If you are looking to see a good movie, this is the film for you.",2.6426086,4.33410239531251
kl,... I'd like to see the film again and see if I can find a copy.,0.7998832,4.33410239531251
kl,"... a lot of people think that this is a great movie, but it's not. It's a very good movie.<br /><br />The acting is good, the direction is great, and the story is very well told. The special effects are very impressive. I recommend this movie to anyone who wants to see a good action movie.",2.76996,4.33410239531251
kl,... the story is very well told and the characters are very likable. I highly recommend this movie to anyone who is looking for a good movie.,2.8410697,4.33410239531251
kl,"... the movie is very good, the acting is good and the story is well told. The movie has a great story and it is a good movie to watch.",2.7651196,4.33410239531251
kl,"... I don't know if it's a good thing or not, but I'm glad I didn't watch it.<br /><br />This movie is one of the best I've seen in a long time. The acting is great, the story is well told, and the special effects are well done. I highly recommend this movie to anyone who is looking for a great movie.",2.7712746,4.33410239531251
kl,".... It is a great film, and I highly recommend it to anyone interested in film making.",2.871643,4.33410239531251
kl,... in the end it is a great movie. I recommend it to anyone who is looking for a good movie to watch.,2.8325422,4.33410239531251
kl,"... to be honest, I'm not sure what the point of this movie was. It's not a great movie, but it's a good movie.<br /><br />This movie is a must see for anyone who is looking for a fun movie to watch.",2.631632,4.33410239531251
kl,.... <br /><br />The story is very well written and the characters are well developed. The acting is also very good. I recommend this movie to anyone who is looking for a good story to tell.,2.692256,4.33410239531251
kl,"... and it's a good movie.<br /><br />The acting is good, the story is well written, and the music is very good.<Br /></br>< br />I recommend this movie to anyone who is looking for a great movie.",2.6635623,4.33410239531251
kl,"..., I'm sorry, but I don't think I've ever seen a movie that was as good as this one.<br /><br />This movie is one of the best movies I have seen in a long time. I recommend it to anyone who is looking for a great movie.",2.492561,4.33410239531251
kl,"... that's what I thought.<br /><br />The acting is good, the story is well told, and the special effects are good.<Br /></br>< br />I would recommend this movie to anyone who is looking for a good movie.",1.9066647,4.33410239531251
kl,"... I don't know what to say about this movie. It's a really good movie, but it's not a great movie.<br /><br />The acting is good, the direction is great, and the story is very well told. I would recommend this to anyone who is looking for a good story.",1.8916315,4.33410239531251
kl,"... the movie is very well done, the acting is good and the story is well told. I highly recommend this movie to anyone looking for a good movie.",2.748667,4.33410239531251
kl,... a very good film. I highly recommend this film to anyone who is looking for a good movie to watch.,2.815104,4.33410239531251
kl,.... This is one of the best movies I've seen in a long time. I can't wait to see it again.,2.6608477,4.33410239531251
