experiment,sample,reward,diversity
default,... the film doesn't make much sense at all.,-2.8129768,5.825884389382092
default,"..., I didn't expect much from this movie. It was too long and boring, the acting was bad, and the plot was weak. The only good thing about this film is that it was a little longer than I expected. But then again, if you're a big fan of action movies, you'll love this one. If you haven't seen this yet, make sure you don't miss it. There are a lot of great action flicks out there, but this is one of my all time favorites. 3 out of 10.",-1.4093937,5.825884389382092
default,"... to be honest, I didn't expect much from the movie.<b /><strong><span style=""width: 100px;"" height: 300px; background-color: #fff; border-bottom: 1px solid #ccc; font-size: 11pt; line-height: 6pt!important; text-indentation: underline; padding-top: 0.5pt!important} <h1><a href=""http://www.youtube.com/"" target=""_blank"" rel=""nofollow"" title=""movie"" content=""video""]<div class=""sw-image sw-x-small"" width=""300px"" height=300"" /> <div id=""mashable"" class="""" title="""" style="""" align=""center"" > <script type=""text/javascript"" src=""https://ajax.googleapis.org/ajp/libs/jquery.min.",-1.3602644,5.825884389382092
default,"... in this film, there's a lot of action and lots of blood. It feels as if it was made for the big screen.<b /><strong><h/t: http://www.imdb.com/title/tt0389840/<a href=""http://search.google.co.uk/?hl=en&aq=http%3A%2F%28searching%29&q=search"" target=""_blank"" width=""100%"" /></a><span style=""color: rgb(216,216);font-size: 14pt; line-height: 1.",0.46088335,5.825884389382092
default,.... This is one of the best movies I have seen in a long time.,2.7807703,5.825884389382092
default,"..., but the rest of the movie was a waste of my time. I loved every minute of it. <3 out of 10.",-1.1276789,5.825884389382092
default,"... on the whole, this is one of the best comedies I have ever seen.",2.7728903,5.825884389382092
default,"..., it's hard to believe.<b><p><c]The plot of the movie is not very original, but that doesn't mean there isn't a lot of humor in it. There's plenty of action and suspense, and there are lots of twists and turns, from the beginning to the end. The music is pretty good, too, especially by the likes of Dario Argento and David Lynch. <b>9 out of 10<d><a href=""http://www.youtube.com/watch?v=jQJ3i1Rx-rY&feature=youtu.be"" target=""_blank"" title=""video"" frameborder=""0"" scrolling=""no"" width=""100%"" height = ""100%""></a><url=https://en.wikipedia.",1.2527378,5.825884389382092
default,"... the only thing that kept me from wanting this movie was the ending. The only redeeming features of this film were the special effects, but I felt like watching it over and over again would be better than watching the whole thing over.<p><span style=""font-size: 11pt; font-weight: bold; line-height: 1.5pt;"" /><ul><li><a href=""http://www.youtube.com/watch?v=8KQ7LfqjU0E&feature=youtu.",-1.2533876,5.825884389382092
default,"... I have never heard of a movie like this before, so I can't really compare it to anything else I've seen. If I had to choose between the two films, I'd choose the one with the better acting and/or directing.<lf><lf-1/2]I thought this movie was pretty good. The acting was good, the dialogue was decent, and the special effects were well done. There was also a little bit of plot development, but overall, this was a very enjoyable film. <lf=2/3]This is definitely one of the best movies I saw in a long time.",2.6187444,5.825884389382092
default,".... In the case of the movie, it wasn't really a movie at all. It was a film about two people who live in a small town in the middle of nowhere trying to make sense of what's going on in their lives. At the end, one of them is killed and they are left with no choice but to leave the city. The rest of us have no idea what happened to them or why they chose to stay. If you look closely at the film, you'll see that it isn't just a bunch of people living happily ever after, but a series of events that lead to the death of several others. There are also lots of subplots, such as the murder of a girl by her boyfriend and the kidnapping of an elderly man by his girlfriend. Some of these sub-plats are actually very interesting, like the story of how the two men found each other and how they ended up in New York City together.",-0.5809598,5.825884389382092
default,... in the end it's a very good movie with lots of laughs. The special effects are great and the acting is top notch. Overall this is a great movie to watch if you don't want to see too much bad acting. I give this a 7 out of 10.,2.78489,5.825884389382092
default,".... <b>The movie takes place in a post-apocalyptic world where the human race has been wiped out by an intergalactic space race, led by the mad scientist known as ""The Beast"".<span id=""selection-marker-1"" class=""redactor-selection"" data-url=""http://humans.wizards.com/movies/the-beast-and-the_beasts.html"" title=""THE BEAST AND THE BEASTS"" />This is the story of a group of people who are trying to find something that will change the future of mankind. In order to do this, they have to take on the monstrous monster known only as the Beast. This movie is a great vehicle for you to watch it all over again and again. If you're looking for a good sci-fi film, this one won't disappoint.",2.0050302,5.825884389382092
default,"... and if you're looking for a movie with good acting, good music, and good direction, this is it. If you don't like bad movies, then this may not be for you. But if that's the case, you'll love this movie. Don't take my word for it, but I think it's worth checking out.<p><b]If you haven't seen the film yet, check it out. It's one of those movies where you have to watch it all the time. You can't get enough of it!<p>7 out of 10.",2.156068,5.825884389382092
default,"... is that the worst film I have ever seen. The story is so awful, it's hard to believe how bad it really is.<p><b]1/10<p>Don't waste your time with this movie. If you are looking for a good horror movie, go for ""Wuthering Heights"" instead. It's one of those movies that should be avoided at all costs. Don't even watch it if you don't like any of the actors in it.",-2.956729,5.825884389382092
default,"... the movie is like a horror film, but that doesn't mean it has to be scary at all. I don't think the acting was bad either.<h/t: www.youtube.",-1.0747193,5.825884389382092
default,"... that's what I like about this film.<b>My favorite part of the film is when the mother and daughter are trying to figure out what happened. It wasn't easy for them, but once they figured it out, they were happy with it.<c><span class=""post-spoiler"" title=""SPOILER ALERT"" /><p><a href=""http://www.imdb.com/title/tt017955/""><img src=""https://media.googleapis.net/media/file/d/0B9K7QW4UZJVNXA6S1Cq3DxE/v1/edit?usp=sharing"" border=""0"" />This is a very well made film. The acting is superb, the cinematography is top notch, and the photography is breathtaking. This is one of my all time favorite films.",2.7940643,5.825884389382092
default,"... I can't wait to see the movie. If you're a fan of sci-fi/horror, then this film is for you. But if you are a Sci-Fi fan, go ahead and rent it.",0.5036289,5.825884389382092
default,"... a lot of people don't like this movie. I didn't even like it, because it wasn't very funny at all. The only reason to watch it is if you are in the mood for a laugh. If you're not, don´t waste your time with this one. It´s not that bad. Don´T miss it.",-1.4376702,5.825884389382092
default,"... and the movie is a waste of time. Don't get me wrong, I'm in love with this movie! I don't think it's a bad idea to make a movie based on a true story, but I'd like to see more of the actual events that took place in the film. If you're new to the genre, there are plenty of movies out there that aren't as good as this one. But if you've never read the book, you'll love this piece of trash.",-1.7464274,5.825884389382092
default,"... to me, it's a great movie.<b><span class=""small""></span><p><div style=""text-align: center; font-size: 12pt; background-color: #fff; text-decoration: none; border-bottom:1px solid #ccccc; padding:0.2em 0.5em; line-height: 1.",1.9400086,5.825884389382092
default,"... a lot of the action takes place in a small town called Bakersfield, where there is a bunch of bakers who live in an isolated area. The rest of us are just sitting back and waiting for them to come home.<b /><span style=""font-size:small;""><a href=""http://www.youtube.com/watch?v=2i8E9QjwCgk"" target=""_blank"" title=""video"" type=""url"" class=""fullscreen"" width=""100%"" height = ""auto"" frameborder = """" scrolling = auto></a><img src=""https://media.steampowered.net/cgi-bin/hdl.",-0.93273735,5.825884389382092
default,"... of the movies, but it's one of my favorite movies I've ever seen.<p><briefly, this movie is a good example of what can be done with a budget that doesn't really exist yet. If you're looking for something a little more serious, then this is the movie for you.</b]If you are looking to see an action movie, or a comedy, check this out: http://www.youtube.com/watch?v=R9V3-gQIiM0&feature=youtu.be<a href=""http://myspace.google.co.",2.1147902,5.825884389382092
default,"... ""I don't know what to make of it, but I feel sorry for all the people in this film.<b /><strong><h1]This is not a comedy. It is a love story. There isn't anything funny about it. This movie is supposed to be a romantic comedy, and it isn`t.<p><a href=""http://en.wikipedia.org/wiki/Funny_film"" target=""_blank""><img src=""https://www.flickr.",-1.9808995,5.825884389382092
default,"... and I really liked it. This movie is not the worst film I have ever seen. It is one of those movies that you just can't believe what you are watching. The acting is amazing, and the cinematography is superb. There is a bit of humor to this movie, but there isn't much of it at all. If you want to see some of the funniest scenes in the world, then this is the movie for you. But if you don't get it, skip this one. Don't waste your time on this crap.",-0.5382225,5.825884389382092
default,"... I've always wanted to see more of this sort of thing, but I can't seem to find the right word to describe it. It has a lot of potential, and I'm hoping that one day I will get my hands on it myself.",1.119144,5.825884389382092
default,"..., it's not too bad at all.<citation needed):<span id=""selection-marker-2"" class=""redactor-selection marker""></span><span class = ""redirect-url"" type = 'text/vnd.tiddlywiki.com/selection_markER_2' data-references = {}, title = ''I watched this movie with a bunch of friends''}, author = Jeroen Dijsselbloem <span name = """" classname = ""'Jane Austen'"" ><span style = ""#cccc"" ><a href = http://www.imdb.co.uk/title/tt00373840/ <a rel = https://twitter.",-0.8072792,5.825884389382092
default,"... in a way. The film is full of twists and turns, some of them hilarious. There are so many moments of surprise, laughter, and humor. This is one of the funniest films I've ever seen. It's hard not to like it.",2.6526473,5.825884389382092
default,"... in my opinion, the best movie I have ever seen. The acting is top-notch and the script is well written and executed. I recommend this one to anyone who enjoys a good romantic comedy.",2.8147829,5.825884389382092
default,"... I'm sure there are some other people who don't think this is the best movie ever made, but it's a good movie. It's one of those movies that makes you want to go watch it again and again. The only thing that kept me from watching it was the music. If you haven't seen this movie yet, I highly recommend you do so. Don't wait for the DVD to come out, because you won't be disappointed.",2.6438675,5.825884389382092
default,"..., but it just didn't work. It could have been better. If you are looking for a low-budget sci-fi movie, this is your movie. This one isn't. The plot of the movie is very good and the acting is good, even if the actors aren't all that great. There are a lot of clichés in this movie.<p><b]Rating: 10/10<p>By far, the best Sci-Fi movie I've seen so far. I haven't seen anything like it since ""The Naked Gun"", but I'm glad I did. Don't get me wrong, it's a good movie with some laughs and a nice story. But, if you're looking to watch a Sci Fi movie and don't want to waste an hour or two of your life watching it, check out ""A Nightmare on Elm Street"" instead. And stay away from ""Doctor Who"" and ""Dracula"".",-0.6487645,5.825884389382092
default,"... in a way, that makes it even worse.<BR /><BR />This is one of the worst films I've ever seen. The acting is atrocious, there are so many sub-plots that make no sense at all, and then there is the whole ""plot"" thing. There isn't even any real plot to speak of, except for a bunch of people trying to figure out what they're doing. It seems as if the director just didn't know what he was doing, or why he wanted to go after this type of film. If you're looking for something to laugh at, then don't bother watching this one. You won't regret it.",-3.0186892,5.825884389382092
default,"... I don't know if it's because of the movie, but it is one of those movies where you have to take a lot of risks in order to get something good. There are so many good things about this movie and what makes it special is that it doesn't take itself too seriously.",2.089253,5.825884389382092
default,"... and I could go on about all of this, but I want to start with what I have already said about the movie. This movie is not as bad as it seems. The plot is simple enough, and in my opinion, there are a lot of interesting things going on. However, I can't help but feel that this movie was made by a bunch of people who don't know how to write a good script. It's just not worth the effort.<b /><span class=""separator"" style=""padding-left:10px; text-align:center; padding-right:20px;"" />If you're looking for a low-budget horror movie, then this isn't for you. If you want something a little bit more serious, skip this one. <p><a href=""http://en.wikipedia.org/wiki/The_Movie"" target=""_blank""><img src=""https://drive.google.",-2.4621234,5.825884389382092
default,"... in order to be able to take care of his child.<b>This movie is about a group of middle-aged men who try to raise a young girl for love but fail miserably. The acting is poor, the plot is weak, and there are too many problems with this movie. In my opinion, this isn't a good movie at all. It's just a waste of time. There is no redeeming quality in this trashy piece of trash.",-3.0274746,5.825884389382092
