experiment,sample,reward,diversity
pearson,"... the acting was superb, the cinematography was excellent, and the direction was outstanding. The story is very interesting, there are a lot of twists and turns in the story, characters are well developed, action sequences are very well choreographed, some of the action scenes are extremely well executed, etc. I would highly recommend this movie to anyone who enjoys martial arts or martial art films. This movie is a must-see for all fans of martial artists and fighting styles. If you haven't seen it yet, check it out!<p><briefly, this is one of my all-time favorite movies.",2.8232877,5.669763329502496
pearson,"... and I must say that it was one of the best movies I've ever seen. The music was good, the acting was excellent, and the special effects were top-notch. This movie is definitely a must-see for fans of sci-fi, fantasy, horror, action, adventure, comedy, romance, mystery, suspense, etc.",2.8295329,5.669763329502496
pearson,".... <span class=""styles__noscript__2rw2y"" src=""https://dsx.weather.com//util/image/widescreen/bg_bg.jpg?v=at&w=485&h=273&api=7db9fe61-7414-47b5-9871-e17d87b8b6a0"" pluginspage=""http://www.macromedia.co.uk/go/getflashplayer"" http://play.google.net/store/apps/details?id=com.tokyo.",-0.06305266,5.669763329502496
pearson,"... that is one of the reasons I like this movie so much. It was a very good movie and I thought it was very well done as well. The acting was good and the story was well told. I highly recommend this film to anyone interested in the history of war, peace, love, friendship, religion, etc. This movie is a must-see for all war buffs. A must see for anyone looking for a good war movie.",2.804831,5.669763329502496
pearson,"... ""The Man Who Knew Too Much"" is one of the best films I've ever seen. It's about a man and his wife who decide they're going to get married in a small town. The plot goes something like this, with a couple of women getting married at the same time. That's it for the rest of their lives, except for those who don't live up to their expectations. <b /><ul><li><a href=""http://www.reuters.com/article/us-news/2008/06/01/daniel-mccarthy-is-a-great-director/"" target=""_blank""><img src=""https://static.cargurus.net/images/forsale/2018/09/27/21/08/04/05/03/00.",2.1457376,5.669763329502496
pearson,"... it was very well done, and the acting was good as well. It was a great story with plenty of twists, turns, etc. There were also some interesting moments, such as when the two characters meet in the middle of the night. The acting wasn't all that great, but it did work well enough to keep the movie interesting. I highly recommend this movie to anyone interested in film making, music, comedy, drama, romance, mystery, sci-fi, horror, action, adventure, fantasy/fantasy, science fiction, suspense, thrillers, mysteries, or other genres. If you're looking for a good Sci-Fi/Horror movie, this is the one for you. This is a very entertaining Sci Fi movie with lots of action and lots going on. You'll want to check it out if you haven't already. Highly recommended.",2.7883754,5.669763329502496
pearson,"... that's the only way I can think of it. This is not one of those movies where the story is so obvious that you have no idea what's going on. The acting is top-notch, the special effects are great, and the cinematography is superb. There is a lot to like about this movie, even if the plot may be a little dated.",2.309961,5.669763329502496
pearson,"... to the point where it's painful to look at it. I have a problem with that. The acting is good, the characters are believable, and the cinematography is superb. My only complaint is that the film doesn't take itself very seriously. It takes itself seriously, but it doesn`t take yourself too seriously.<p><ul><li><a href=""http://www.imdb.com/title/tt014476/"" target=""_blank""><img class=""styles__noscript__2rw2y"" src=""https://dsx.weather.co.uk/util/image/widescreen/bg_large.",1.8278978,5.669763329502496
pearson,"... to be honest, I thought it was pretty good. The acting was top notch and the writing was as good as it gets. This movie is a must see for fans of all ages. It's hard not to like this film, especially if you are a fan of sci-fi. I highly recommend it to anyone interested in seeing a good sci fi movie. There are so many great Sci Fi movies out there and this one really stands out. If you haven't seen it yet, then you may want to give it a look. However, if your looking for something a little bit different, don't miss this.",2.6405635,5.669763329502496
pearson,"... and the fact that he is a man who has lost all of his faith in God. This is another example of why this film is such a great success. I think it's also one of my favorite films of all time. It's about a young man (played by Kevin Spacey) who falls in love with a beautiful woman (Sandra Bullock), and when she dies, he realizes that no matter what happens to him, his life is on the line. The film has a good cast of characters, and it makes you feel like you are in the middle of something big. There are a lot of jokes here, but the acting is very good, especially from the supporting cast. Overall, this is definitely one to keep an eye out for. If you haven't seen it yet, don't worry. You'll be glad you did.",2.6823423,5.669763329502496
