experiment,sample,reward,diversity
a_9,"... the acting is good and the story is well told. The acting was good, the script was well written, and there was a lot of humor in the movie.<br /><br />I would recommend this movie to anyone who is looking for a great movie. If you are looking to see a good movie, then this is the film for you.",2.253202,4.30099060085564
a_9,"... I think the movie is very well made, the acting is great, and the story is well told. I highly recommend this movie to anyone who wants to see a good movie.",2.8068194,4.30099060085564
a_9,"... the movie is very well done and the acting is excellent. I highly recommend this movie to anyone who is looking for a great movie. If you are looking to see a good movie, this is the film for you.",2.7804997,4.30099060085564
a_9,.... This is a great movie. I recommend this movie to anyone.,2.8246756,4.30099060085564
a_9,... of the movies I've seen so far. It's one of my favorite movies of all time.,2.6979403,4.30099060085564
a_9,... I think this is the best movie I've seen in a long time.<br /><br />This movie is a must see for anyone who is looking for a great movie.,2.846333,4.30099060085564
a_9,.... This movie is one of my all time favorite movies. I highly recommend this movie to anyone.,2.7964358,4.30099060085564
a_9,"... that is what this movie is about. It is a great movie. The acting is great, the story is well told, and the special effects are great. I highly recommend this film to anyone.",2.8849268,4.30099060085564
a_9,"... I don't know if this is a good thing or a bad thing, but this movie is one of the best movies I have seen in a long time. I highly recommend it to anyone who is looking for a great movie.",2.84506,4.30099060085564
a_9,.... <br /><br />This is one of the best movies I've seen in a long time.,2.7637198,4.30099060085564
a_9,... I think it's one of the best films I've seen in a long time. The acting is great and the story is well told. I highly recommend this film to anyone who is looking for a great film.,2.9056497,4.30099060085564
a_9,"... and I have to admit, I was very impressed with this movie. The acting was good, the story was well written, and the special effects were pretty good. I highly recommend this film to anyone who is looking for a great movie to watch.",2.755481,4.30099060085564
a_9,"... of course, is that the movie is based on a true story, not a fantasy. The story is told in a way that makes it easy for the viewer to understand the characters, and the story itself is very well done. It's a very good movie, I highly recommend it to anyone who is looking for a good story.",2.8207796,4.30099060085564
a_9,"... to be frank, I don't think I'd ever see this movie again. I think it's one of the best movies I've seen in a long time. The acting is great, the story is interesting, and the special effects are very good. It's a great movie.",2.8352022,4.30099060085564
a_9,"... of course, there's a lot more to this movie than that.<br /><br />The story is very well told and the characters are well developed. The acting is good, the direction is excellent, and there is a great deal of suspense. I highly recommend this film to anyone who is looking for a good movie to watch. If you are looking to see a movie that is well written and well acted, this is the movie for you.",2.7850678,4.30099060085564
a_9,"... the acting is good, the story is well told, and the special effects are well done. This movie is a must see for any fan of the series.",2.6845539,4.30099060085564
a_9,... the story is well written and the characters are well developed. The acting is good and it is very well done. I highly recommend this movie to anyone looking for a good movie.,2.7964408,4.30099060085564
a_9,"... to be honest, I didn't really care for this movie. It was a waste of time, money, and effort.",-3.0410814,4.30099060085564
a_9,"... a lot of the time it's just a bunch of people who are trying to figure out what's going on. It's not a great movie, but it is a good movie.<br /><br />The acting is good, the plot is well written, and the story is very well told. The acting was very good. I would recommend this movie to anyone who wants to see a movie that is entertaining and interesting.",2.607746,4.30099060085564
a_9,... the movie is very well done and the story is well told. I recommend this movie to anyone who is looking for a good movie.,2.7044873,4.30099060085564
a_9,"...
<br /><br />This is one of the best movies I've seen in a long time. The acting is great, the story is well written, and the special effects are great. I highly recommend this movie.",2.9030027,4.30099060085564
a_9,... I don't think I've ever seen a film that was as good as this one.<br /><br />This is one of the best films I have seen in a long time. I highly recommend it.,2.819378,4.30099060085564
a_9,"... the movie is about a young girl who falls in love with a man she meets at a bar. She falls for him, but he tries to kill her. The movie ends with her falling in with him. This is one of the best movies I have seen in a long time.",2.6381967,4.30099060085564
a_9,"... in this case, it was a very good movie. It was well written, well acted, and well directed. The acting was good, the story was very well told, as well as the special effects. I highly recommend this movie to anyone who wants to see a good action movie with a great story.",2.7512908,4.30099060085564
a_9,"... I'm not a big fan of this movie, but it's a great movie. I recommend it to anyone who wants to see a good movie.",2.7882497,4.30099060085564
a_9,... it's a great movie and I highly recommend it to anyone who is looking for a good movie.,2.884499,4.30099060085564
a_9,... and I'm glad I did. I can't wait to see it again.,1.7617939,4.30099060085564
a_9,... I think this is one of the best movies I have ever seen. I highly recommend this movie to anyone who wants to see a great movie.,2.8439245,4.30099060085564
a_9,"... a lot of people have said that this is a great movie, and I agree. I think it is one of the best movies I have seen in a long time. The acting is great, the story is very well told, it's a very good movie. If you are looking for a movie to watch, this movie is the movie for you.",2.8511155,4.30099060085564
a_9,... that's a good thing.<br /><br />This movie is one of the best movies I have seen in a long time. It is a must see for anyone who is looking for a great movie.,2.809331,4.30099060085564
a_9,"... to be honest, I didn't know what to expect from this movie.<br /><br />The acting was excellent, the story was well told, and the characters were well developed. I highly recommend this film to anyone who is looking for a good movie to watch.",2.6446629,4.30099060085564
a_9,... the movie is a good movie. I recommend this movie to anyone who wants to see a movie that is good.,2.5735126,4.30099060085564
a_9,... I have to say that this movie is one of the best movies I've seen in a long time. It's a very good movie and I highly recommend it to anyone who is looking for a great movie.,2.864173,4.30099060085564
a_9,... The movie is a great movie and I recommend it to anyone who is looking for a good movie to watch.,2.843169,4.30099060085564
a_9,"... and the story is very well told. The cinematography is excellent, the script is well written, and there is a lot of character development. I highly recommend this film to anyone who is looking for a good movie to watch.",2.8281245,4.30099060085564
a_9,"... the acting is good, the story is well written, and the music is very good. I recommend this movie to anyone who is looking for a good movie.",2.6351297,4.30099060085564
a_9,"... in the end, it's a pretty good movie. The acting is good, the story is well written, and the characters are likable. I highly recommend this movie to anyone who is looking for a great movie.",2.810791,4.30099060085564
a_9,"... a very good movie. I highly recommend this movie to anyone who is looking for a good horror movie with good acting, good direction, and good story.",2.7657385,4.30099060085564
a_9,"... the acting is good, the story is well written, and the characters are well developed. The movie is a must see for any fan of the genre.",2.7812097,4.30099060085564
a_9,.... This is one of the best movies I have seen in a long time. I highly recommend this movie.,2.8772736,4.30099060085564
a_9,.... I have to say that this is one of the best movies I've seen in a long time.<br /><br />I highly recommend this movie to anyone who is looking for a great movie.,2.8151257,4.30099060085564
a_9,"... in the end, the movie is a great movie, and I recommend it to anyone who wants a good movie.",2.7799618,4.30099060085564
a_9,"... a lot of it is very good. The acting is good, the story is well written, and the acting by the cast is great. I highly recommend this movie to anyone who is looking for a good movie.",2.7908244,4.30099060085564
