experiment,sample,reward,diversity
sigmoid_7,"... for the movie. Great acting, great story, and a must see for all ages. I highly recommend this movie to anyone looking for a great family movie! 8 out of 10.",2.8708966,4.534738385124433
sigmoid_7,"..., the story is very well told, and I highly recommend this movie to all of my friends and family. Highly recommended. 7 out of 10.",2.898117,4.534738385124433
sigmoid_7,... The acting was top-notch and the music was one of the best I have ever had the pleasure of seeing.,2.7259877,4.534738385124433
sigmoid_7,...,-0.027459579,4.534738385124433
sigmoid_7,... this was a really great film and I highly recommend it to anyone looking for a wonderful movie.,2.8791468,4.534738385124433
sigmoid_7,... of a movie. Highly recommend this movie for fans of all ages. 10 out of 10.,2.7436163,4.534738385124433
sigmoid_7,"..., this movie is one of the best I have ever seen. A must-see for any Sci Fi fan.",2.8290544,4.534738385124433
sigmoid_7,"..., and the acting was top-notch.<BR />< br >I highly recommend this film.",2.7971106,4.534738385124433
sigmoid_7,.... This is one of my all time favorites.,2.8067012,4.534738385124433
sigmoid_7,"..., I was impressed.<BR />< br ><Br />This is one of my all-time favorites. 10 out of 10!< Br />P.S.",2.7841842,4.534738385124433
sigmoid_7,... of this film.,0.9886518,4.534738385124433
sigmoid_7,... and one of the funniest movies I have ever seen.,2.821528,4.534738385124433
sigmoid_7,....,-0.063555785,4.534738385124433
sigmoid_7,... the best film I have ever seen.,2.6848288,4.534738385124433
sigmoid_7,.... I can't wait to watch it again.,0.9176636,4.534738385124433
sigmoid_7,"... to be honest with you, it was the best movie I have ever had the pleasure of seeing.",2.515305,4.534738385124433
sigmoid_7,... and it's a MUST SEE! I highly recommend this movie to anyone who is looking for a great family film.,2.8660946,4.534738385124433
sigmoid_7,... and this is one of my all-time favorites.,2.8135242,4.534738385124433
sigmoid_7,... of the story.<BR />< br >I highly recommend this movie.,2.626019,4.534738385124433
sigmoid_7,... of a film. And the cast is top-notch.,2.470577,4.534738385124433
sigmoid_7,... and it is one of my all time favorites! I highly recommend this movie.,2.8847344,4.534738385124433
sigmoid_7,"..., it's one of the funniest films I've ever seen.",2.795911,4.534738385124433
sigmoid_7,".... I've never seen such a wonderful cast.<BR />< br >I'd highly recommend this film to anyone interested in the history of film making, great performances, and a must see for all fans of the 70's, 80's and 90's.",2.791894,4.534738385124433
sigmoid_7,... I love this movie. I highly recommend it to all! 9 out of 10.,2.8599808,4.534738385124433
sigmoid_7,"... The acting is top notch, as are the special effects and cinematography. This is one of the best movies I have ever seen.",2.7431047,4.534738385124433
sigmoid_7,"...
I'm a huge fan of the book and I look forward to seeing it again on DVD in the near future.",1.9756054,4.534738385124433
sigmoid_7,"..., I highly recommend this to anyone looking for a fun, exciting romantic comedy that will make you laugh and cry!<BR />< br ><Br />7 out of 10.",2.7567327,4.534738385124433
sigmoid_7,... and I highly recommend this movie to anyone interested in the history of film making.,2.703988,4.534738385124433
sigmoid_7,"... in my opinion, one of the best movies I have ever seen.",2.7496686,4.534738385124433
sigmoid_7,...I liked the way the film was filmed and the cinematography. I highly recommend this film to anyone looking for a great film. 8 out of 10.,2.704424,4.534738385124433
sigmoid_7,... and it is a real treat to see this film in theaters. I highly recommend this movie to anyone looking for a great film to watch during the holiday season.,2.722132,4.534738385124433
sigmoid_7,"... to be honest, I am very happy with the movie. A must see for any fan of science fiction, fantasy, horror, sci-fi, etc.",2.65,4.534738385124433
sigmoid_7,"... to see all of the wonderful actors, actresses and special effects. <BR />< br >I highly recommend this film to anyone looking for a great family movie.",2.7250388,4.534738385124433
sigmoid_7,...,-0.027459579,4.534738385124433
sigmoid_7,... and this is one of the best movies I have ever seen.,2.780231,4.534738385124433
sigmoid_7,...,-0.027459579,4.534738385124433
sigmoid_7,... in the end.,-0.67385876,4.534738385124433
sigmoid_7,... I'm sure this is one of the best sci-fi movies I have seen in years.,2.6875584,4.534738385124433
sigmoid_7,"...I highly recommend this film to anyone looking for a good, original and well thought out movie. 9 out of 10.",2.728137,4.534738385124433
sigmoid_7,"... on the other hand, is very well done, and a must see for anyone looking for an excellent movie. I highly recommend this movie to all of you. 9 out of 10.",2.8734226,4.534738385124433
sigmoid_7,... the best movie I have ever seen.,2.6894767,4.534738385124433
sigmoid_7,"..., this is one of the best movies I have ever seen.",2.7749887,4.534738385124433
sigmoid_7,"... I have to say this is one of the best movies I've seen all year. I highly recommend this movie to any fan of Sci-Fi, sci-fi, fantasy, horror, romance, comedy, science fiction, etc.",2.772608,4.534738385124433
sigmoid_7,"..., which is one of the funniest films I've ever seen.",2.7731252,4.534738385124433
sigmoid_7,"... of the characters in this movie, and I highly recommend it to anyone looking for a great love story.",2.6799629,4.534738385124433
sigmoid_7,...,-0.027459579,4.534738385124433
sigmoid_7,"... to be honest, I thought this was one of the best films I've ever seen.",2.610763,4.534738385124433
sigmoid_7,... the acting was top-notch and the special effects were top notch. I highly recommend this film to all of you.,2.7632475,4.534738385124433
