experiment,sample,reward,diversity
a_9_1,"... the acting is good and the script is well written. It's a fun movie to watch, especially if you're a fan of sci-fi.",2.6417744,5.467005907722412
a_9_1,"... of the '70s and '80s, and I'm sure a lot of people out there still find this film to be one of their all time favourite films. It's a wonderful film that captures the essence of what it means to grow up in the 80s. The acting is superb, the cinematography is top-notch and the special effects are stunning. I highly recommend this movie to anyone looking for a must-see film for those who are new to the 70s or early 90s movies. If you haven't seen it yet, don't miss it!<p><span title=""1/2"" /><a href=""/http://www.netflix.",2.877298,5.467005907722412
a_9_1,... I found this movie to be very entertaining and suspenseful. It is definitely a must see for fans of all ages. I highly recommend this film as it is a great family film with lots of laughs and excitement. The acting is excellent and the story is well told. This film is one of my all-time favorites. Highly recommended. 7 out of 10.,2.9129608,5.467005907722412
a_9_1,"..., this is the best film I have ever seen. The cinematography is incredible, the acting is top-notch, and the special effects are superb.",2.8867743,5.467005907722412
a_9_1,".... It is one of the funniest movies I have seen in a long time.<b>The acting is top notch as well as the cinematography. The story is well told and the special effects are top-notch. There are a few moments where you just want to laugh, but overall the movie is worth it for the laughs it has to offer. I highly recommend this movie to anyone who enjoys comedy.",2.8342652,5.467005907722412
a_9_1,"..., and the film does a great job of conveying the complexity of the situation. The characters are believable, as well as the story. I highly recommend this film to anyone who is interested in seeing what life was like during the Second World War. If you haven't seen it yet, I encourage you to check it out. It's one of my all-time favorite films of all time.",2.86917,5.467005907722412
a_9_1,"... of the movie. The special effects are top-notch, the cinematography is top notch, and the story is well told. If you're looking for a film that will leave you breathless with laughter, then this is the film for you.<p><brief aside, I really enjoyed this movie very much. It was one of my favorite films of all time. I don't think I've ever experienced anything quite like it. All in all, it's a must-see for anyone who wants to see what it has to offer.",2.8267326,5.467005907722412
a_9_1,"... and it is one of the best movies I have ever seen. The acting is top notch, the story is well thought out, and the special effects are great. This movie is a must see for all fans of Sci-Fi, Fantasy, Horror, Thriller, Action, Comedy, Mystery, etc.",2.8630872,5.467005907722412
a_9_1,"... and I thought this movie would be great. The acting was top notch, the script was well written, and the cinematography was superb. This is one of my all-time favorite movies! It is a must-see for any fan of sci-fi, fantasy, horror, adventure, action, comedy, drama, etc. I highly recommend this film to anyone looking for a good Sci-Fi/Fantasy movie. If you have not seen it yet, or if you haven't seen the trailer, you are in for an amazing viewing experience. It's a perfect blend of Sci Fi, Fantasy, Horror, Action, Adventure, Thriller, Comedy, Romance, Drama, Mystery, Sci fi, D&D, RPG, Martial Arts, Science Fiction, & Fantasy. Highly recommended!<a href=""http://www.imdb.",2.8721793,5.467005907722412
a_9_1,"... the movie is great and I highly recommend it to anyone who is a fan of all things Sci-Fi or Fantasy. It's one of my all time favorite movies and has been recommended many times on IMDb. The acting is top notch and the story is well told. I would definitely recommend this movie to any Sci Fi fan. If you haven't seen it yet, don't miss it. You won't be disappointed.",2.838396,5.467005907722412
a_9_1,"... and it doesn't take itself too seriously. If you are looking for a movie that will make you laugh out loud, then this movie is the movie for you. The acting is top-notch, the cinematography is very good, and the special effects are top notch. I highly recommend this film to anyone who has never seen a film before.",2.7194753,5.467005907722412
a_9_1,"... and this was one of the worst movies I have ever seen. This movie is a waste of my time and money. The script is terrible, the acting is poor, and the special effects are atrocious. I would not recommend this movie to anyone who has already seen it. If you have not seen this film yet, I highly suggest you do. It is one hell of a movie.",-2.9148633,5.467005907722412
a_9_1,".... It's not a good movie, but it is very entertaining. There are some funny moments along the way, and the acting is top notch. I highly recommend this movie to anyone who wants to have fun with family and friends. If you're looking for a movie that will leave you wanting more, then this is the movie for you. The characters are well written, the story is well-told, there are plenty of laughs in the film, it's a must see. A must-see for fans of all ages. This is one of my all-time favorite movies! <a href=""http://www.imdb.",2.8383346,5.467005907722412
a_9_1,".... <span class=""styles-and-art"" data-style=""width:300px;"" data><p style=""background-color:white;"" background-image-url=""http://i.imgur.com/a2wC7g.jpg"" height=""200px"" width=""400px""></p></span><ul><li><a href=""https://www.instagram.co.uk/p/K9QHXGJW8/""><img class="""" style="""" border=""0"" border-bottom=""1"" margin-top=""100%""></a><!-- end of --><div align=""right""><hr><b><span style=""color:#fff;padding-left:10px;border-right:1px solid #ccc;text-decoration:underline;font-weight:bold;background:rgba(0,0,-0.5,1.",-0.22278236,5.467005907722412
a_9_1,"... I don't know how to describe it, but I think it is the best comedy I've ever seen. It's not a lot of laughs, just a good mix of comedy and suspense. I highly recommend this film to anyone who enjoys watching funny comedies. The acting is top notch, the script is well thought out, and the special effects are breathtaking. All in all, this is one of my all-time favorite comedys. If you're looking for a laugh out loud, then this may be the film for you. 8/10. 7 out of 10.",2.8088675,5.467005907722412
